Dataset,MajorityClass,Wetland,Forest,Grassland,Bareland,Water,Built-up,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBC_M_R,Non_Wetland,8,2,4,1,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBC_M_R,Grassland,296,77,0,81,53,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBC_M_R,Wetland,0,115,296,107,875,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBC_M_R,Bareland,12,11,16,0,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBC_M_R,Forest,499,0,274,65,152,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBC_M_R,Water,675,56,97,15,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBC_M_R,Shrubland,9,3,4,4,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBC_M_R,Cropland,6,13,23,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBC_M_R,Built-up,20,7,18,31,18,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBC_M_R,Non_Wetland,5,6,8,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBC_M_R,Grassland,92,193,0,20,3,17,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBC_M_R,Wetland,0,583,1066,119,297,8,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBC_M_R,Bareland,4,19,33,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBC_M_R,Water,565,332,427,118,0,2,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBC_M_R,Shrubland,1,9,15,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBC_M_R,Built-up,1,49,67,12,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBC_M_R,Cropland,0,27,17,2,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBC_M_R,Forest,89,0,284,8,31,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBC_M_R,Wetland,0,0,0,0,175,0,0,1224,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBC_M_R,Grassland,89,0,0,0,10,0,0,544,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBC_M_R,Forest,147,0,0,0,44,0,0,729,0,0,0,0
