Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Cropland,Wetland,Water,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_18NZH_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZH_M_R,Grassland,0,9,2,16,2,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZH_M_R,Cropland,13,3,2,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZH_M_R,Wetland,14,2,0,17,0,0,5,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZH_M_R,Bareland,4,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZH_M_R,Built-up,6,4,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZH_M_R,Water,30,19,0,34,0,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NZH_M_R,Forest,40,5,7,0,1,9,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZH_M_R,Grassland,0,0,0,0,0,8,1,7,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZH_M_R,Forest,0,0,0,0,0,23,7,13,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZH_M_R,Water,0,0,0,0,0,27,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZH_M_R,Wetland,0,0,0,0,0,0,1,8,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZH_M_R,Bareland,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZH_M_R,Grassland,0,0,0,0,0,0,17,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZH_M_R,Wetland,0,0,0,0,0,0,10,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZH_M_R,Forest,0,0,0,0,0,0,20,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZH_M_R,Built-up,0,0,0,0,0,0,1,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZH_M_R,Water,0,0,0,0,0,0,0,0,27,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZH_M_R,Bareland,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZH_M_R,Cropland,8,1,0,4,0,0,0,0,0,9
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZH_M_R,Bareland,2,0,0,2,0,1,0,0,0,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZH_M_R,Built-up,4,2,0,3,0,0,0,0,0,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZH_M_R,Water,26,1,3,17,1,27,0,0,0,9
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZH_M_R,Forest,27,1,8,0,7,23,7,0,0,24
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZH_M_R,Grassland,0,1,2,11,3,8,1,0,0,15
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZH_M_R,Wetland,4,0,0,4,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZH_M_R,Grassland,0,0,7,8,19,2,8,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZH_M_R,Wetland,0,1,4,7,3,0,11,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZH_M_R,Forest,0,0,10,0,12,5,20,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZH_M_R,Built-up,0,1,0,1,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZH_M_R,Water,0,2,0,12,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZH_M_R,Cropland,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZH_M_R,Bareland,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZH_M_R,Wetland,6,0,0,14,0,0,9,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZH_M_R,Bareland,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZH_M_R,Water,10,3,0,32,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZH_M_R,Forest,10,1,0,0,6,0,8,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZH_M_R,Cropland,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZH_M_R,Grassland,0,1,0,7,2,2,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZH_M_R,Built-up,0,0,0,1,0,0,0,0,0,0
