Dataset,MajorityClass,Forest,Cropland,Built-up,Bareland,Water,Grassland,Non_Wetland,Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LCK_M_R,Grassland,125,2,3,15,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCK_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCK_M_R,Bareland,38,2,0,0,83,96,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCK_M_R,Water,595,4,0,345,0,544,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCK_M_R,Forest,0,21,6,259,325,612,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCK_M_R,Shrubland,4,0,1,1,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCK_M_R,Cropland,22,0,0,5,5,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCK_M_R,Wetland,33,2,0,11,42,43,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCK_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCK_M_R,Built-up,60,1,0,11,15,62,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCK_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCK_M_R,Grassland,0,0,0,0,13,0,98,22,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCK_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCK_M_R,Water,0,0,0,0,0,0,258,278,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCK_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCK_M_R,Built-up,0,0,0,0,9,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCK_M_R,Forest,0,0,0,0,148,0,452,220,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCK_M_R,Bareland,0,0,0,0,24,0,79,28,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCK_M_R,Cropland,0,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCK_M_R,Grassland,47,0,3,108,60,0,0,95,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCK_M_R,Non_Wetland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCK_M_R,Bareland,55,0,9,0,108,21,0,85,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCK_M_R,Water,334,0,22,78,0,213,0,454,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCK_M_R,Forest,0,0,5,134,365,310,0,496,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCK_M_R,Shrubland,0,0,0,3,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCK_M_R,Cropland,3,0,0,8,3,10,0,6,0,0,0,0
