Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXE_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
2,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
4,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
5,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
6,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
7,NULL,Bareland,Water,NULL,Water,NULL,NULL,NULL
8,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
9,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
10,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
11,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
12,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,NULL
13,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
14,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
15,NULL,Built-up,Water,NULL,Water,NULL,NULL,NULL
16,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
17,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
18,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
19,NULL,Water,Water,NULL,Water,NULL,NULL,NULL
20,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
21,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
22,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
23,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
24,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
25,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
26,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
27,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
28,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
29,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
30,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
31,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
32,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
33,Grassland,Water,Water,NULL,Water,NULL,NULL,NULL
34,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
35,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
36,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
37,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
38,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
39,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
40,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
41,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
42,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
43,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
44,Wetland,Wetland,Water,NULL,Water,NULL,NULL,NULL
45,Wetland,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
46,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
47,Wetland,Water,Water,NULL,Water,NULL,NULL,NULL
48,Wetland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
49,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
50,Wetland,Forest,Water,NULL,Water,NULL,NULL,NULL
51,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
52,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
53,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
54,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
55,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
56,Bareland,Bareland,Water,NULL,Water,NULL,NULL,NULL
57,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
58,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
59,Bareland,Water,Water,NULL,Water,NULL,NULL,NULL
60,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
61,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
62,Water,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
63,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
64,Water,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
65,Water,Wetland,Water,NULL,Water,NULL,NULL,NULL
66,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
67,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
68,Water,Bareland,Water,NULL,Water,NULL,NULL,NULL
69,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
70,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,NULL
71,Water,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
72,Water,Built-up,Water,NULL,Water,NULL,NULL,NULL
73,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
74,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
75,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
76,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
77,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
78,Water,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
79,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
80,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
81,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
82,Water,Water,Water,NULL,Water,NULL,NULL,NULL
83,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
84,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
85,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
86,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
87,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
88,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
89,Water,Forest,Water,NULL,Water,NULL,NULL,NULL
90,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
91,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
92,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
93,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
94,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
95,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
96,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
97,Forest,NULL,Water,NULL,Water,NULL,NULL,NULL
98,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
99,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
100,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
101,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
102,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
103,Forest,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
104,Forest,Wetland,Water,NULL,Water,NULL,NULL,NULL
105,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
106,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
107,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
108,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
109,Forest,Built-up,Water,NULL,Water,NULL,NULL,NULL
110,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
111,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
112,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
113,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
114,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
115,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
116,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
117,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
118,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
119,Forest,Water,Water,NULL,Water,NULL,NULL,NULL
120,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
121,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
122,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
123,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
124,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
125,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
126,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
127,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
128,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
129,Forest,Forest,Water,NULL,Water,NULL,NULL,NULL
130,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
