Dataset,MajorityClass,Grassland,Bareland,Cropland,Built-up,Wetland,Water,Forest,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MKR_M_R,Forest,722,103,66,109,79,79,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKR_M_R,Grassland,0,94,80,101,5,13,317,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKR_M_R,Non_Wetland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKR_M_R,Cropland,373,76,0,92,0,2,215,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKR_M_R,Bareland,290,0,34,62,2,8,104,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKR_M_R,Built-up,212,53,40,0,0,0,96,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKR_M_R,Water,431,131,1,3,104,0,521,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKR_M_R,Shrubland,23,4,5,8,1,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKR_M_R,Wetland,363,20,0,7,0,87,276,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKR_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKR_M_R,Grassland,0,0,0,0,123,26,0,300,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKR_M_R,Shrubland,0,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKR_M_R,Water,0,0,0,0,314,0,0,236,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKR_M_R,Forest,0,0,0,0,344,109,0,646,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKR_M_R,Bareland,0,0,0,0,15,4,0,17,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKR_M_R,Cropland,0,0,0,0,24,7,0,30,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKR_M_R,Wetland,0,0,0,0,0,19,0,244,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKR_M_R,Built-up,0,0,0,0,6,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKR_M_R,Grassland,0,107,0,81,97,44,211,0,28,0,0,0
