Dataset,MajorityClass,Cropland,Forest,Built-up,Bareland,Water,Grassland,Wetland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_22KCU_M_R,Grassland,131,191,36,18,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCU_M_R,Non_Wetland,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCU_M_R,Bareland,17,27,23,0,1,51,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCU_M_R,Cropland,0,421,159,133,75,517,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCU_M_R,Wetland,0,50,0,2,26,68,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCU_M_R,Forest,239,0,114,77,144,609,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCU_M_R,Water,61,414,12,108,0,267,16,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCU_M_R,Shrubland,5,5,0,0,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCU_M_R,Built-up,130,204,0,89,22,255,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCU_M_R,Non_Wetland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCU_M_R,Grassland,0,79,67,45,18,0,47,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCU_M_R,Cropland,0,182,243,271,100,296,59,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCU_M_R,Bareland,0,5,10,0,26,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCU_M_R,Forest,0,0,136,145,239,231,223,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCU_M_R,Shrubland,0,1,3,4,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCU_M_R,Built-up,0,55,0,150,35,62,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCU_M_R,Water,0,146,57,32,0,25,71,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCU_M_R,Wetland,0,1,0,0,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCU_M_R,Non_Wetland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCU_M_R,Grassland,56,89,19,25,7,0,91,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCU_M_R,Water,1,141,74,60,0,12,170,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCU_M_R,Shrubland,2,2,0,1,0,4,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCU_M_R,Cropland,0,164,171,189,28,255,158,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCU_M_R,Built-up,48,55,0,168,3,110,56,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCU_M_R,Forest,123,0,87,115,174,248,394,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCU_M_R,Bareland,1,3,2,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCU_M_R,Wetland,0,9,0,1,14,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCU_M_R,Grassland,0,0,0,0,10,0,6,123,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCU_M_R,Wetland,0,0,0,0,3,0,0,80,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCU_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCU_M_R,Cropland,0,0,0,0,31,0,7,207,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCU_M_R,Built-up,0,0,0,0,15,0,0,57,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCU_M_R,Forest,0,0,0,0,69,0,126,546,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCU_M_R,Water,0,0,0,0,0,0,124,200,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCU_M_R,Bareland,0,0,0,0,10,0,0,0,0,0,0
