Dataset,MajorityClass,Forest,Water,Grassland,Bareland,Wetland,Cropland,Shrubland,Non_Wetland,Built-up,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_22MBV_M_R,Grassland,32,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBV_M_R,Non_Wetland,4,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBV_M_R,Wetland,79,106,101,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBV_M_R,Water,238,0,93,36,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBV_M_R,Shrubland,8,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBV_M_R,Cropland,7,3,8,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBV_M_R,Built-up,8,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBV_M_R,Forest,0,51,90,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBV_M_R,Bareland,5,57,31,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBV_M_R,Non_Wetland,0,0,2,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBV_M_R,Forest,0,105,241,0,129,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBV_M_R,Grassland,1,3,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBV_M_R,Shrubland,0,4,4,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBV_M_R,Water,43,0,165,9,140,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBV_M_R,Cropland,0,1,8,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBV_M_R,Wetland,4,41,113,2,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBV_M_R,Built-up,0,0,8,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBV_M_R,Bareland,0,26,60,0,15,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBV_M_R,Non_Wetland,1,0,1,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBV_M_R,Grassland,15,8,0,24,49,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBV_M_R,Water,36,0,22,12,213,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBV_M_R,Forest,0,154,63,60,255,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBV_M_R,Shrubland,1,2,2,5,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBV_M_R,Cropland,2,0,3,8,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBV_M_R,Wetland,2,76,4,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBV_M_R,Built-up,0,3,1,9,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBV_M_R,Bareland,0,25,11,0,39,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBV_M_R,Grassland,0,0,0,0,17,0,0,61,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBV_M_R,Wetland,0,0,0,0,0,0,0,23,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBV_M_R,Forest,0,45,0,0,102,0,0,304,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBV_M_R,Shrubland,0,0,0,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBV_M_R,Water,0,0,0,0,246,0,0,178,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBV_M_R,Cropland,0,0,0,0,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBV_M_R,Built-up,0,0,0,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBV_M_R,Bareland,0,0,0,0,37,0,0,44,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBV_M_R,Grassland,12,0,0,1,17,9,45,0,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBV_M_R,Forest,0,45,68,44,102,16,102,0,32,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBV_M_R,Wetland,2,0,1,0,0,0,14,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBV_M_R,Water,71,0,18,37,246,16,115,0,46,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBV_M_R,Bareland,1,0,5,0,37,7,28,0,37,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBV_M_R,Built-up,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBV_M_R,Cropland,1,0,0,0,0,0,8,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBV_M_R,Water,0,0,0,0,0,0,0,0,0,142
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBV_M_R,Grassland,0,29,0,0,0,0,0,0,0,3
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBV_M_R,Wetland,0,118,0,0,0,0,0,0,0,61
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBV_M_R,Built-up,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBV_M_R,Forest,0,126,0,0,0,0,0,0,0,60
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBV_M_R,Bareland,0,42,0,0,0,0,0,0,0,16
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBV_M_R,Cropland,0,2,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBV_M_R,Water,35,0,0,64,5,3,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBV_M_R,Grassland,26,12,0,20,0,1,0,0,11,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBV_M_R,Wetland,43,92,0,46,0,2,0,0,4,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBV_M_R,Forest,0,166,0,3,4,0,0,0,6,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBV_M_R,Cropland,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBV_M_R,Bareland,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBV_M_R,Forest,0,4,4,7,0,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBV_M_R,Wetland,114,14,2,60,0,16,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBV_M_R,Water,249,0,5,113,24,20,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBV_M_R,Grassland,55,2,0,14,3,18,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBV_M_R,Bareland,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBV_M_R,Cropland,0,0,0,1,0,0,0,0,0,0
