Dataset,MajorityClass,Grassland,Forest,Wetland,Bareland,Water,Shrubland,Non_Wetland,Built-up,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NWB_M_R,Shrubland,37,26,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWB_M_R,Grassland,0,38,7,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWB_M_R,Wetland,104,93,0,4,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWB_M_R,Bareland,5,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWB_M_R,Water,66,170,26,23,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWB_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWB_M_R,Forest,128,0,4,0,62,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWB_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWB_M_R,Shrubland,15,9,19,10,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWB_M_R,Grassland,0,19,65,12,1,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWB_M_R,Wetland,40,12,0,2,30,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWB_M_R,Bareland,0,0,4,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWB_M_R,Forest,111,0,197,22,79,79,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWB_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWB_M_R,Water,40,54,149,0,0,2,0,0,0,0,0
