Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Water,Grassland,Cropland,Non_Wetland,Shrubland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NPL_M_R,Grassland,61,12,3,17,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPL_M_R,Shrubland,14,8,3,4,2,23,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPL_M_R,Bareland,32,0,8,10,24,74,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPL_M_R,Built-up,60,25,0,4,6,75,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPL_M_R,Water,101,104,3,69,0,137,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPL_M_R,Cropland,8,13,2,6,0,32,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPL_M_R,Wetland,46,41,0,0,28,91,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPL_M_R,Forest,0,34,15,32,25,164,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPL_M_R,Permanent_ice_and_snow,6,14,0,2,1,18,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPL_M_R,Shrubland,0,0,0,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPL_M_R,Wetland,0,0,0,0,13,0,0,126,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPL_M_R,Grassland,0,0,0,6,3,0,0,72,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPL_M_R,Forest,0,0,0,29,11,0,0,128,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPL_M_R,Cropland,0,0,0,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPL_M_R,Bareland,0,0,0,25,20,0,0,29,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPL_M_R,Built-up,0,0,0,0,4,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPL_M_R,Water,0,0,0,48,0,0,0,70,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPL_M_R,Shrubland,4,1,4,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPL_M_R,Grassland,16,23,12,0,2,0,0,0,16,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPL_M_R,Bareland,6,0,4,0,1,17,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPL_M_R,Built-up,11,22,0,0,0,35,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPL_M_R,Forest,0,29,17,0,0,89,0,0,22,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPL_M_R,Water,2,0,1,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPL_M_R,Cropland,1,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPL_M_R,Permanent_ice_and_snow,0,0,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPL_M_R,Wetland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPL_M_R,Shrubland,1,8,1,8,3,14,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPL_M_R,Forest,0,27,16,61,6,153,7,0,5,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPL_M_R,Grassland,5,20,14,28,3,0,4,0,2,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPL_M_R,Wetland,0,0,0,0,3,1,0,0,0,0,0
