Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Shrubland,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NGC_M_R,Shrubland,3,3,2,1,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGC_M_R,Grassland,0,5,3,1,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGC_M_R,Cropland,4,3,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGC_M_R,Wetland,51,0,11,0,35,35,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGC_M_R,Bareland,8,5,0,0,7,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGC_M_R,Built-up,9,0,5,0,1,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGC_M_R,Water,61,47,4,1,0,48,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGC_M_R,Forest,51,33,0,5,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGC_M_R,Permanent_ice_and_snow,7,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGC_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGC_M_R,Grassland,0,5,0,0,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGC_M_R,Bareland,0,6,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGC_M_R,Forest,0,32,0,0,13,0,65,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGC_M_R,Wetland,0,0,0,0,8,0,20,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGC_M_R,Water,0,35,0,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGC_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGC_M_R,Cropland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGC_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGC_M_R,Grassland,0,5,0,0,0,4,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGC_M_R,Water,29,35,0,1,0,26,0,18,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGC_M_R,Cropland,3,0,0,0,0,2,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGC_M_R,Wetland,14,0,0,0,8,4,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGC_M_R,Bareland,6,6,0,0,0,1,0,13,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGC_M_R,Built-up,7,1,3,0,0,4,0,8,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGC_M_R,Forest,48,32,5,9,13,0,0,32,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGC_M_R,Permanent_ice_and_snow,1,0,0,0,0,2,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGC_M_R,Shrubland,0,0,0,0,2,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGC_M_R,Grassland,0,0,0,0,11,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGC_M_R,Wetland,0,0,0,0,64,0,0,0,0,22,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGC_M_R,Bareland,0,0,0,0,9,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGC_M_R,Water,0,0,0,0,0,0,0,0,0,49,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGC_M_R,Forest,0,0,0,0,44,0,0,0,0,17,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGC_M_R,Built-up,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGC_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGC_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGC_M_R,Grassland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGC_M_R,Forest,17,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGC_M_R,Grassland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGC_M_R,Forest,19,20,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGC_M_R,Grassland,0,7,0,9,5,10,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGC_M_R,Water,0,29,8,16,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGC_M_R,Wetland,0,0,3,7,22,20,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGC_M_R,Bareland,0,2,0,5,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGC_M_R,Forest,0,17,1,16,24,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGC_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGC_M_R,Permanent_ice_and_snow,0,1,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGC_M_R,Wetland,11,0,13,0,19,42,0,0,9,0,19
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGC_M_R,Water,8,14,17,0,0,50,0,0,2,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGC_M_R,Forest,6,3,0,0,3,0,0,0,4,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGC_M_R,Grassland,0,2,3,0,3,13,0,0,3,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGC_M_R,Built-up,0,0,0,0,0,3,0,0,0,0,0
