Dataset,MajorityClass,Grassland,Bareland,Forest,Cropland,Wetland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MFS_M_R,Shrubland,260,40,152,24,68,31,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFS_M_R,Grassland,0,120,512,171,181,86,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFS_M_R,Non_Wetland,11,0,8,2,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFS_M_R,Built-up,245,56,188,42,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFS_M_R,Water,909,268,886,15,414,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFS_M_R,Cropland,484,75,395,0,66,58,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFS_M_R,Wetland,595,58,373,19,0,2,153,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFS_M_R,Bareland,368,0,203,38,16,46,54,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFS_M_R,Forest,1008,94,0,144,229,72,130,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFS_M_R,Non_Water,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFS_M_R,Lichens_and_Mosses,0,0,5,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFS_M_R,Permanent_ice_and_snow,1,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFS_M_R,Non_Wetland,9,2,2,0,13,0,2,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFS_M_R,Shrubland,113,35,26,0,41,11,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFS_M_R,Grassland,0,183,180,0,233,49,139,251,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFS_M_R,Cropland,633,85,173,0,135,32,19,192,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFS_M_R,Wetland,565,53,68,0,0,0,356,211,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFS_M_R,Bareland,300,0,26,0,44,26,128,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFS_M_R,Built-up,149,86,24,0,31,0,25,44,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFS_M_R,Water,934,265,165,0,333,38,0,277,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFS_M_R,Forest,1270,409,0,0,618,81,429,646,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFS_M_R,Non_Water,1,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFS_M_R,Lichens_and_Mosses,4,0,0,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFS_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFS_M_R,Shrubland,0,0,0,0,0,0,0,0,154,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFS_M_R,Wetland,0,0,0,0,0,0,17,0,312,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFS_M_R,Grassland,0,0,0,0,175,0,50,0,601,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFS_M_R,Water,0,0,0,0,785,0,0,0,450,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFS_M_R,Bareland,0,0,0,0,183,0,20,0,61,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFS_M_R,Forest,0,0,0,0,552,0,160,0,999,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFS_M_R,Cropland,0,0,0,0,58,0,7,0,237,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFS_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFS_M_R,Built-up,0,0,0,0,11,0,8,0,34,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFS_M_R,Grassland,0,512,133,151,131,59,166,414,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFS_M_R,Non_Wetland,3,4,0,3,11,0,3,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFS_M_R,Wetland,299,388,43,52,0,1,326,380,0,0,0,0
