Dataset,MajorityClass,Forest,Bareland,Built-up,Water,Wetland,Grassland,Cropland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19MDN_M_R,Grassland,100,14,6,6,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDN_M_R,Non_Wetland,5,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDN_M_R,Wetland,158,6,0,141,0,294,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDN_M_R,Bareland,19,0,2,18,0,47,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDN_M_R,Water,388,51,2,0,17,484,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDN_M_R,Shrubland,3,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDN_M_R,Cropland,19,9,4,7,0,42,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDN_M_R,Built-up,83,16,0,15,0,132,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDN_M_R,Forest,0,24,8,248,0,494,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDN_M_R,Non_Wetland,0,0,0,0,7,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDN_M_R,Grassland,9,79,7,20,182,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDN_M_R,Bareland,4,0,0,28,17,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDN_M_R,Water,156,106,12,0,555,171,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDN_M_R,Forest,0,236,18,330,576,350,0,1,0,0,0,0
