Dataset,MajorityClass,Bareland,Forest,Grassland,Built-up,Water,Wetland,Shrubland,Cropland,Non_Wetland,Permanent_ice_and_snow,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_19NHB_M_R,Grassland,13,30,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHB_M_R,Shrubland,1,2,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHB_M_R,Cropland,0,3,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHB_M_R,Wetland,8,24,23,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHB_M_R,Built-up,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHB_M_R,Water,37,70,62,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHB_M_R,Forest,44,0,103,3,13,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHB_M_R,Bareland,0,3,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHB_M_R,Permanent_ice_and_snow,3,7,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHB_M_R,Shrubland,0,0,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHB_M_R,Grassland,0,8,0,0,2,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHB_M_R,Wetland,0,4,18,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHB_M_R,Water,0,19,47,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHB_M_R,Forest,4,0,141,0,38,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHB_M_R,Cropland,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHB_M_R,Bareland,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHB_M_R,Permanent_ice_and_snow,0,0,3,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHB_M_R,Grassland,1,26,0,1,2,7,27,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHB_M_R,Forest,9,0,57,5,31,55,63,10,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHB_M_R,Built-up,0,1,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHB_M_R,Water,3,35,22,2,0,25,28,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHB_M_R,Cropland,0,2,1,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHB_M_R,Wetland,0,1,1,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHB_M_R,Bareland,0,3,1,0,1,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHB_M_R,Permanent_ice_and_snow,0,4,3,1,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHB_M_R,Grassland,0,11,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHB_M_R,Wetland,0,7,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHB_M_R,Forest,0,0,34,0,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHB_M_R,Water,0,16,5,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHB_M_R,Grassland,0,0,0,0,2,7,0,0,6,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHB_M_R,Forest,0,0,0,0,31,55,0,0,35,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHB_M_R,Wetland,0,0,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHB_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHB_M_R,Water,0,0,0,0,0,25,0,0,8,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHB_M_R,Grassland,2,32,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHB_M_R,Forest,1,0,0,2,22,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHB_M_R,Wetland,0,13,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHB_M_R,Water,2,39,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHB_M_R,Bareland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHB_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHB_M_R,Wetland,3,16,2,0,29,0,0,1,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHB_M_R,Water,3,32,1,0,0,5,0,4,0,4,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHB_M_R,Forest,21,0,10,0,110,3,0,26,0,27,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHB_M_R,Grassland,7,19,0,0,45,1,0,5,0,14,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHB_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHB_M_R,Wetland,0,0,0,0,3,0,0,0,0,0,3
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHB_M_R,Forest,0,0,0,0,8,0,0,0,0,0,10
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHB_M_R,Water,0,0,0,0,0,0,0,0,0,0,20
