Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Grassland,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MTT_M_R,Grassland,185,18,16,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTT_M_R,Non_Wetland,7,0,0,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTT_M_R,Wetland,316,3,1,0,575,84,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTT_M_R,Bareland,93,0,12,0,216,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTT_M_R,Built-up,90,26,0,1,119,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTT_M_R,Water,482,32,4,211,696,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTT_M_R,Non_Water,1,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTT_M_R,Shrubland,13,0,4,0,21,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTT_M_R,Forest,0,27,51,20,506,94,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTT_M_R,Cropland,25,1,3,0,25,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTT_M_R,Permanent_ice_and_snow,2,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTT_M_R,Non_Wetland,3,2,0,6,2,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTT_M_R,Grassland,109,150,26,133,0,89,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTT_M_R,Bareland,79,0,14,23,116,69,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTT_M_R,Water,229,52,0,410,165,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTT_M_R,Forest,0,225,46,419,324,334,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTT_M_R,Wetland,95,51,0,0,101,305,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTT_M_R,Non_Water,1,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTT_M_R,Shrubland,7,8,2,8,7,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTT_M_R,Built-up,18,62,0,40,45,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTT_M_R,Cropland,9,14,0,7,21,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTT_M_R,Permanent_ice_and_snow,1,0,0,1,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTT_M_R,Grassland,0,0,0,44,0,2,282,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTT_M_R,Wetland,0,0,0,0,0,43,353,0,0,0,0,0
