Dataset,MajorityClass,Grassland,Bareland,Forest,Wetland,Cropland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LFR_M_R,Shrubland,329,47,215,119,30,45,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFR_M_R,Non_Wetland,14,1,10,13,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFR_M_R,Grassland,0,118,405,122,167,66,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFR_M_R,Bareland,374,0,164,13,33,31,43,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFR_M_R,Built-up,196,58,170,3,26,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFR_M_R,Water,953,256,821,461,24,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFR_M_R,Forest,1108,121,0,266,166,76,174,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFR_M_R,Cropland,486,129,336,22,0,89,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFR_M_R,Wetland,967,91,578,0,30,4,186,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFR_M_R,Non_Water,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFR_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFR_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFR_M_R,Non_Wetland,8,2,3,16,0,0,2,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFR_M_R,Shrubland,121,33,42,77,0,14,43,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFR_M_R,Grassland,0,95,202,189,0,31,110,322,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFR_M_R,Cropland,547,103,192,82,0,10,19,303,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFR_M_R,Wetland,513,39,326,0,0,6,613,646,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFR_M_R,Bareland,208,0,75,20,0,16,186,91,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFR_M_R,Built-up,127,60,21,7,0,0,29,62,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFR_M_R,Water,590,110,332,216,0,18,0,542,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFR_M_R,Forest,1053,207,0,411,0,77,523,990,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFR_M_R,Non_Water,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFR_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFR_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFR_M_R,Wetland,0,0,0,0,0,0,44,0,494,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFR_M_R,Shrubland,0,0,0,0,0,0,0,0,309,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFR_M_R,Grassland,0,0,0,160,0,0,33,0,535,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFR_M_R,Forest,0,0,0,842,0,0,177,0,1004,0,0,0
