Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Built-up,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KBC_M_R,Shrubland,101,87,20,19,7,17,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBC_M_R,Grassland,0,243,153,60,32,81,46,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBC_M_R,Non_Wetland,11,6,0,4,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBC_M_R,Bareland,72,40,26,0,25,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBC_M_R,Built-up,159,163,90,2,0,15,60,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBC_M_R,Water,392,394,25,224,28,0,56,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBC_M_R,Forest,723,0,258,104,104,290,124,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBC_M_R,Wetland,143,118,6,0,5,174,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBC_M_R,Non_Water,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBC_M_R,Cropland,463,375,0,46,94,114,141,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBC_M_R,Non_Wetland,2,2,0,15,0,7,3,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBC_M_R,Shrubland,45,19,0,41,5,21,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBC_M_R,Grassland,0,114,0,239,27,90,58,145,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBC_M_R,Wetland,55,11,0,0,1,298,30,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBC_M_R,Bareland,82,10,0,22,15,28,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBC_M_R,Forest,563,0,0,792,84,440,239,593,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBC_M_R,Non_Water,1,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBC_M_R,Water,249,134,0,398,10,0,92,127,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBC_M_R,Cropland,536,252,0,295,82,70,219,254,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBC_M_R,Built-up,132,40,0,61,0,22,121,51,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBC_M_R,Grassland,0,127,13,264,12,2,115,83,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBC_M_R,Non_Wetland,6,2,0,17,0,0,5,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBC_M_R,Forest,799,0,27,1054,41,50,561,417,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBC_M_R,Wetland,106,20,0,0,0,50,41,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBC_M_R,Water,258,107,0,951,10,0,439,65,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBC_M_R,Non_Water,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBC_M_R,Shrubland,65,33,0,56,0,1,37,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBC_M_R,Bareland,35,12,0,11,20,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBC_M_R,Built-up,192,31,0,73,0,0,223,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBC_M_R,Cropland,598,269,0,287,106,8,409,115,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBC_M_R,Grassland,0,0,0,2,0,12,0,0,550,0,0,0
