Dataset,MajorityClass,Forest,Built-up,Wetland,Bareland,Water,Grassland,Shrubland,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MRD_M_R,Grassland,226,17,36,10,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRD_M_R,Non_Wetland,13,1,2,0,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRD_M_R,Water,832,6,304,68,0,1352,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRD_M_R,Cropland,33,2,0,4,1,33,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRD_M_R,Wetland,576,0,0,11,138,928,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRD_M_R,Bareland,64,4,4,0,6,212,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRD_M_R,Non_Water,2,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRD_M_R,Shrubland,26,4,1,3,1,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRD_M_R,Built-up,69,0,1,15,4,84,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRD_M_R,Forest,0,63,72,16,265,804,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRD_M_R,Permanent_ice_and_snow,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRD_M_R,Non_Wetland,3,0,14,2,4,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRD_M_R,Grassland,114,3,192,90,187,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRD_M_R,Cropland,14,0,5,25,7,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRD_M_R,Wetland,208,0,0,65,598,225,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRD_M_R,Bareland,27,1,72,0,98,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRD_M_R,Water,476,0,643,203,0,233,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRD_M_R,Forest,0,10,664,271,672,430,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRD_M_R,Non_Water,1,0,0,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRD_M_R,Shrubland,9,3,14,11,11,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRD_M_R,Built-up,18,0,22,69,34,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRD_M_R,Permanent_ice_and_snow,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRD_M_R,Non_Wetland,0,0,14,2,6,3,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRD_M_R,Bareland,0,0,77,0,76,67,0,63,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRD_M_R,Forest,0,11,863,164,538,557,0,336,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRD_M_R,Grassland,4,8,275,55,145,0,0,73,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRD_M_R,Wetland,20,0,0,28,529,167,0,64,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRD_M_R,Non_Water,0,0,0,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRD_M_R,Water,112,0,933,61,0,179,0,111,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRD_M_R,Shrubland,0,1,16,8,9,16,0,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRD_M_R,Cropland,0,0,6,1,7,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRD_M_R,Built-up,0,0,39,34,17,59,0,33,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRD_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRD_M_R,Grassland,0,0,60,0,16,0,0,0,494,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRD_M_R,Wetland,0,0,0,0,60,0,0,0,783,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRD_M_R,Forest,0,0,300,0,109,0,0,0,1514,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRD_M_R,Water,0,0,365,0,0,0,0,0,1109,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRD_M_R,Shrubland,0,0,0,0,0,0,0,0,31,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRD_M_R,Cropland,0,0,0,0,0,0,0,0,11,0,0,0
