Dataset,MajorityClass,Grassland,Forest,Cropland,Bareland,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KGU_M_R,Shrubland,157,56,18,3,8,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGU_M_R,Grassland,0,295,181,26,56,33,31,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGU_M_R,Non_Wetland,14,8,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGU_M_R,Bareland,256,79,47,0,44,45,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGU_M_R,Built-up,400,278,143,138,0,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGU_M_R,Water,1042,921,203,253,44,0,287,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGU_M_R,Forest,1488,0,363,189,288,423,196,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGU_M_R,Cropland,1019,668,0,201,227,117,85,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGU_M_R,Wetland,388,287,43,11,7,95,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGU_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGU_M_R,Permanent_ice_and_snow,5,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGU_M_R,Non_Wetland,1,3,0,2,0,1,15,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGU_M_R,Shrubland,20,17,0,12,10,7,49,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGU_M_R,Grassland,0,129,0,96,85,125,288,28,0,0,0,0
