Dataset,MajorityClass,Forest,Built-up,Wetland,Water,Grassland,Bareland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MRV_M_R,Grassland,159,9,11,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRV_M_R,Non_Wetland,8,0,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRV_M_R,Wetland,331,0,0,88,340,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRV_M_R,Bareland,28,3,1,2,34,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRV_M_R,Water,571,0,260,0,393,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRV_M_R,Shrubland,11,1,0,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRV_M_R,Cropland,23,2,0,0,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRV_M_R,Built-up,35,0,0,0,17,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRV_M_R,Forest,0,14,44,63,312,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRV_M_R,Permanent_ice_and_snow,1,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRV_M_R,Non_Wetland,3,0,8,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRV_M_R,Grassland,28,1,147,94,0,48,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRV_M_R,Bareland,1,0,12,9,32,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRV_M_R,Water,94,0,521,0,116,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRV_M_R,Forest,0,5,574,345,321,83,7,0,0,0,0,0
