Dataset,MajorityClass,Non_Wetland,Wetland,Water,Bareland,Built-up,Grassland,Forest,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKV_M_R,Grassland,20,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKV_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKV_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKV_M_R,Built-up,6,2,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKV_M_R,Forest,348,88,42,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKV_M_R,Bareland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKV_M_R,Water,171,92,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKV_M_R,Wetland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKV_M_R,Grassland,0,11,1,34,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKV_M_R,Non_Wetland,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKV_M_R,Shrubland,0,1,1,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKV_M_R,Forest,0,133,125,210,69,166,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKV_M_R,Built-up,0,1,2,39,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKV_M_R,Cropland,0,2,0,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKV_M_R,Water,0,90,0,114,0,26,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKV_M_R,Bareland,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKV_M_R,Wetland,0,0,12,12,0,11,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKV_M_R,Non_Wetland,0,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKV_M_R,Grassland,0,9,1,11,18,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKV_M_R,Shrubland,0,0,0,0,0,1,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKV_M_R,Built-up,0,5,3,49,0,6,28,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKV_M_R,Cropland,0,0,0,0,1,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKV_M_R,Bareland,0,2,4,0,0,7,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKV_M_R,Forest,0,321,147,85,21,49,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKV_M_R,Water,0,239,0,4,0,0,42,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKV_M_R,Wetland,0,0,5,1,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKV_M_R,Non_Wetland,0,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKV_M_R,Shrubland,0,0,0,0,1,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKV_M_R,Bareland,0,0,1,0,7,25,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKV_M_R,Built-up,0,0,0,14,0,44,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKV_M_R,Grassland,0,0,0,0,4,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKV_M_R,Cropland,0,0,0,1,2,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKV_M_R,Forest,0,0,86,8,43,164,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKV_M_R,Water,0,0,0,12,1,53,171,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKV_M_R,Wetland,0,0,28,1,0,24,26,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKV_M_R,Grassland,0,0,0,2,6,0,2,12,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKV_M_R,Bareland,0,0,0,0,30,10,2,12,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKV_M_R,Forest,0,88,42,107,90,150,0,101,17,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKV_M_R,Built-up,0,2,2,4,0,25,11,20,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKV_M_R,Water,0,92,0,87,21,52,72,41,1,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKV_M_R,Cropland,0,0,0,0,1,1,1,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKV_M_R,Built-up,0,0,3,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKV_M_R,Wetland,0,0,17,0,0,0,0,0,0,0,29,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKV_M_R,Bareland,0,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKV_M_R,Water,0,0,0,0,0,0,0,0,0,0,107,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKV_M_R,Forest,0,0,121,0,0,0,0,0,0,0,75,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKV_M_R,Built-up,0,0,0,3,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKV_M_R,Bareland,0,0,3,0,8,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKV_M_R,Grassland,0,0,2,0,11,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKV_M_R,Forest,0,1,179,2,45,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKV_M_R,Wetland,0,0,47,0,2,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKV_M_R,Water,0,0,0,0,0,0,37,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKV_M_R,Built-up,0,0,0,3,0,4,42,0,5,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKV_M_R,Grassland,0,0,0,0,0,0,40,0,12,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKV_M_R,Forest,0,0,2,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKV_M_R,Bareland,0,0,0,0,0,0,8,0,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKV_M_R,Water,0,0,0,4,0,0,272,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKV_M_R,Wetland,0,0,9,1,0,0,70,0,0,0,0,0
