Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
40,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
42,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
43,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
44,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
45,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
46,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
47,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
48,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
49,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
50,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
