Dataset,MajorityClass,Shrubland,Grassland,Wetland,Bareland,Water,Forest,Built-up,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPT_M_R,Non_Wetland,6,6,6,2,6,7,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPT_M_R,Shrubland,0,40,9,30,29,35,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPT_M_R,Grassland,127,0,73,205,108,199,73,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPT_M_R,Wetland,384,424,0,977,1167,671,86,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPT_M_R,Bareland,107,145,184,0,730,183,90,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPT_M_R,Built-up,65,120,43,135,78,104,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPT_M_R,Water,27,76,168,360,0,340,57,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPT_M_R,Forest,428,555,376,467,332,0,267,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPT_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPT_M_R,Cropland,14,49,12,50,29,34,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPT_M_R,Permanent_ice_and_snow,1,0,1,27,11,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPT_M_R,Non_Wetland,0,10,23,3,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPT_M_R,Bareland,0,1180,474,0,288,250,44,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPT_M_R,Forest,0,1432,650,180,46,0,201,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPT_M_R,Shrubland,0,194,59,22,5,67,32,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPT_M_R,Grassland,0,0,76,45,0,141,33,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPT_M_R,Wetland,0,1979,0,637,240,611,49,74,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPT_M_R,Built-up,0,433,82,117,13,213,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPT_M_R,Water,0,947,845,592,0,316,17,3,0,0,0,0
