Dataset,MajorityClass,Forest,Grassland,Water,Bareland,Wetland,Shrubland,Non_Wetland,Cropland,Built-up,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_21MTP_M_R,Grassland,15,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTP_M_R,Non_Wetland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTP_M_R,Wetland,74,95,28,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTP_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTP_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTP_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTP_M_R,Forest,0,81,53,1,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTP_M_R,Water,175,106,0,2,85,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTP_M_R,Grassland,0,0,0,0,11,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTP_M_R,Non_Wetland,0,2,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTP_M_R,Forest,0,130,104,0,166,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTP_M_R,Shrubland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTP_M_R,Wetland,8,23,75,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTP_M_R,Bareland,0,1,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTP_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTP_M_R,Water,12,23,0,0,121,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTP_M_R,Non_Wetland,0,1,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTP_M_R,Grassland,4,0,0,0,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTP_M_R,Forest,0,77,116,0,256,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTP_M_R,Shrubland,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTP_M_R,Wetland,9,11,68,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTP_M_R,Bareland,0,2,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTP_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTP_M_R,Water,60,9,0,0,169,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTP_M_R,Grassland,0,0,0,0,4,0,23,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTP_M_R,Wetland,0,0,17,0,0,0,44,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTP_M_R,Forest,0,0,43,0,114,0,304,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTP_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTP_M_R,Bareland,0,0,0,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTP_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTP_M_R,Water,0,0,0,0,143,0,96,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTP_M_R,Grassland,10,0,0,6,4,12,0,6,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTP_M_R,Wetland,2,0,17,29,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTP_M_R,Forest,0,25,43,103,114,73,0,12,9,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTP_M_R,Water,39,6,0,64,143,25,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTP_M_R,Bareland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTP_M_R,Wetland,0,0,83,0,0,0,0,0,0,0,53
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTP_M_R,Forest,0,0,101,0,0,0,0,0,0,0,61
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTP_M_R,Grassland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTP_M_R,Bareland,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTP_M_R,Water,0,0,0,0,0,0,0,0,0,0,108
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTP_M_R,Water,62,0,0,13,64,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTP_M_R,Grassland,8,0,3,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTP_M_R,Forest,0,0,169,0,20,0,0,0,1,0,0
