Dataset,MajorityClass,Cropland,Water,Forest,Built-up,Wetland,Bareland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KKP_M_R,Grassland,116,30,133,32,37,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKP_M_R,Non_Wetland,2,5,6,1,4,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKP_M_R,Bareland,37,56,87,51,10,0,162,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKP_M_R,Built-up,47,28,84,0,22,57,118,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKP_M_R,Water,89,0,408,50,89,224,526,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKP_M_R,Forest,135,226,0,130,110,134,529,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKP_M_R,Shrubland,24,7,32,13,9,10,111,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKP_M_R,Cropland,0,46,154,63,36,57,260,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKP_M_R,Wetland,28,106,93,14,0,23,246,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKP_M_R,Non_Water,0,1,3,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKP_M_R,Lichens_and_Mosses,1,0,3,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKP_M_R,Permanent_ice_and_snow,1,0,2,1,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKP_M_R,Non_Wetland,0,2,2,5,15,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKP_M_R,Shrubland,0,17,17,28,24,20,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKP_M_R,Grassland,0,63,72,62,104,55,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKP_M_R,Cropland,0,72,87,133,76,87,103,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKP_M_R,Wetland,0,111,16,37,0,36,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKP_M_R,Bareland,0,97,20,69,17,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKP_M_R,Built-up,0,38,29,0,19,59,23,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKP_M_R,Water,0,0,175,260,174,135,48,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKP_M_R,Forest,0,260,0,231,279,195,124,35,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKP_M_R,Non_Water,0,2,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKP_M_R,Lichens_and_Mosses,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKP_M_R,Permanent_ice_and_snow,0,0,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKP_M_R,Wetland,0,3,0,0,0,0,0,0,292,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKP_M_R,Grassland,0,15,0,0,27,0,0,0,232,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKP_M_R,Forest,0,56,0,0,101,0,0,0,581,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKP_M_R,Bareland,0,14,0,0,22,0,0,0,67,0,0,0
