Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LTJ_M_R,Grassland,199,44,33,48,38,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTJ_M_R,Non_Wetland,4,0,0,0,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTJ_M_R,Shrubland,21,7,0,2,5,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTJ_M_R,Cropland,143,0,0,34,46,0,215,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTJ_M_R,Bareland,89,17,0,0,31,21,148,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTJ_M_R,Built-up,79,12,0,32,0,0,116,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTJ_M_R,Water,350,2,78,166,7,0,329,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTJ_M_R,Forest,0,25,23,71,60,77,358,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTJ_M_R,Wetland,88,0,0,12,1,27,51,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTJ_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTJ_M_R,Non_Wetland,0,0,6,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTJ_M_R,Shrubland,2,0,7,6,4,3,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTJ_M_R,Grassland,53,0,74,62,22,46,0,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTJ_M_R,Cropland,67,0,35,47,25,9,290,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTJ_M_R,Bareland,30,0,30,0,25,38,243,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTJ_M_R,Built-up,14,0,21,41,0,16,60,0,0,0,0,0
