Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MRU_M_R,Grassland,100,17,14,5,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRU_M_R,Non_Wetland,7,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRU_M_R,Shrubland,11,0,0,1,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRU_M_R,Wetland,180,5,0,0,26,237,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRU_M_R,Bareland,18,0,0,1,1,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRU_M_R,Water,303,13,0,174,0,264,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRU_M_R,Forest,0,11,16,34,55,272,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRU_M_R,Cropland,18,0,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRU_M_R,Lichens_and_Mosses,0,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRU_M_R,Built-up,13,1,0,0,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRU_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRU_M_R,Non_Wetland,1,0,0,11,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRU_M_R,Shrubland,5,0,0,10,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRU_M_R,Grassland,28,2,0,80,16,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRU_M_R,Bareland,4,0,0,11,5,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRU_M_R,Water,75,0,0,299,0,77,0,0,0,0,0,0
