Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Cropland,Wetland,Grassland,Non_Wetland,Shrubland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_22MEV_M_R,Grassland,219,51,50,19,9,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEV_M_R,Non_Wetland,3,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEV_M_R,Cropland,31,14,3,0,0,0,39,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEV_M_R,Bareland,37,16,0,4,0,1,73,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEV_M_R,Built-up,61,0,10,0,0,0,92,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEV_M_R,Water,307,1,103,0,0,15,201,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEV_M_R,Forest,0,23,12,27,0,7,264,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEV_M_R,Shrubland,10,2,0,0,1,0,8,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEV_M_R,Wetland,68,0,19,22,0,0,61,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEV_M_R,Grassland,0,0,0,22,0,58,0,159,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEV_M_R,Forest,0,0,0,52,0,117,0,219,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEV_M_R,Shrubland,0,0,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEV_M_R,Bareland,0,0,0,6,0,6,0,7,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEV_M_R,Water,0,0,0,0,0,158,0,128,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEV_M_R,Wetland,0,0,0,0,0,0,0,19,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEV_M_R,Built-up,0,0,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEV_M_R,Cropland,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEV_M_R,Grassland,119,60,91,34,0,48,0,0,3,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEV_M_R,Non_Wetland,1,0,2,0,0,1,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEV_M_R,Cropland,18,4,13,0,0,0,56,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEV_M_R,Bareland,11,5,0,5,0,0,58,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEV_M_R,Water,88,2,60,0,0,55,340,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEV_M_R,Forest,0,32,119,61,0,115,406,0,2,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEV_M_R,Shrubland,2,3,4,3,0,1,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEV_M_R,Wetland,35,0,16,11,0,0,93,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEV_M_R,Built-up,9,0,39,0,0,0,49,0,4,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEV_M_R,Non_Wetland,0,0,0,0,0,4,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEV_M_R,Forest,0,36,342,94,21,137,268,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEV_M_R,Grassland,47,57,310,23,5,82,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEV_M_R,Water,19,1,230,0,0,181,56,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEV_M_R,Shrubland,0,0,7,0,0,5,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEV_M_R,Built-up,0,0,68,0,0,0,44,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEV_M_R,Cropland,2,6,54,0,0,5,21,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEV_M_R,Wetland,7,0,59,11,0,0,28,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEV_M_R,Bareland,1,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEV_M_R,Grassland,0,0,0,60,0,0,0,0,0,25
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEV_M_R,Bareland,0,0,0,12,0,0,0,0,0,2
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEV_M_R,Wetland,0,0,0,15,0,0,0,0,0,18
