Dataset,MajorityClass,Bareland,Forest,Wetland,Water,Grassland,Non_Wetland,Shrubland,Built-up,Lichens_and_Mosses,Cropland
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXV_M_R,Grassland,1,19,6,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXV_M_R,Non_Wetland,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXV_M_R,Forest,12,0,76,31,46,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXV_M_R,Shrubland,3,3,1,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXV_M_R,Wetland,0,16,0,19,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXV_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXV_M_R,Bareland,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXV_M_R,Built-up,0,1,10,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXV_M_R,Water,0,38,52,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXV_M_R,Cropland,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXV_M_R,Non_Wetland,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXV_M_R,Shrubland,1,2,3,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXV_M_R,Grassland,0,4,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXV_M_R,Wetland,0,7,0,43,19,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXV_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXV_M_R,Bareland,0,0,1,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXV_M_R,Built-up,0,2,5,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXV_M_R,Water,2,18,19,0,38,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXV_M_R,Forest,16,0,57,40,68,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXV_M_R,Cropland,0,0,1,0,2,0,0,0,0,0
