Dataset,MajorityClass,Forest,Built-up,Water,Bareland,Grassland,Wetland,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_18MZT_M_R,Grassland,120,4,21,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZT_M_R,Non_Wetland,2,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZT_M_R,Wetland,120,0,60,4,120,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZT_M_R,Bareland,31,2,31,0,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZT_M_R,Built-up,93,0,24,4,81,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZT_M_R,Shrubland,2,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZT_M_R,Water,453,0,0,69,346,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZT_M_R,Cropland,13,0,1,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZT_M_R,Forest,0,4,212,19,343,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZT_M_R,Grassland,0,0,11,0,0,26,144,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZT_M_R,Wetland,0,0,2,0,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZT_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZT_M_R,Water,0,0,0,0,0,243,245,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZT_M_R,Cropland,0,0,1,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZT_M_R,Forest,0,0,95,0,0,202,653,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZT_M_R,Bareland,0,0,1,0,0,5,10,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZT_M_R,Built-up,0,0,13,0,0,5,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZT_M_R,Grassland,14,17,67,65,0,102,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZT_M_R,Non_Wetland,0,0,1,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZT_M_R,Bareland,0,5,26,0,14,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZT_M_R,Built-up,3,0,18,66,41,20,0,0,0,0,0
