Dataset,MajorityClass,Grassland,Forest,Wetland,Water,Cropland,Built-up,Bareland,Shrubland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_22LEM_M_R,Shrubland,323,240,85,57,15,15,13,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEM_M_R,Grassland,0,262,63,31,47,19,21,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEM_M_R,Non_Wetland,15,11,7,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEM_M_R,Bareland,255,41,4,150,35,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEM_M_R,Built-up,74,78,0,2,5,0,5,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEM_M_R,Forest,1155,0,324,359,21,33,26,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEM_M_R,Cropland,235,141,4,12,0,14,12,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEM_M_R,Wetland,1398,747,0,557,66,1,46,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEM_M_R,Water,927,892,433,0,33,1,44,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEM_M_R,Non_Water,4,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEM_M_R,Non_Wetland,3,5,19,4,0,0,0,7,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEM_M_R,Shrubland,82,52,96,46,0,2,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEM_M_R,Grassland,0,104,235,57,0,3,23,333,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEM_M_R,Cropland,189,33,89,20,0,6,16,64,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEM_M_R,Wetland,387,562,0,645,0,0,88,982,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEM_M_R,Bareland,68,48,24,135,0,17,0,68,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEM_M_R,Built-up,37,4,14,7,0,0,2,32,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEM_M_R,Water,248,503,400,0,0,12,72,825,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEM_M_R,Forest,515,0,699,549,0,8,141,1173,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEM_M_R,Non_Water,1,0,0,7,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEM_M_R,Wetland,0,0,0,62,0,0,0,0,848,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEM_M_R,Shrubland,0,0,0,0,0,0,0,0,418,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEM_M_R,Grassland,0,0,165,39,0,0,0,0,627,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEM_M_R,Forest,0,0,753,229,0,0,0,0,1793,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEM_M_R,Water,0,0,923,0,0,0,0,0,629,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEM_M_R,Bareland,0,0,256,25,0,0,0,0,41,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEM_M_R,Cropland,0,0,14,0,0,0,0,0,124,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEM_M_R,Built-up,0,0,1,0,0,0,0,0,16,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEM_M_R,Non_Wetland,3,2,18,1,0,0,6,11,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEM_M_R,Grassland,0,55,174,36,28,6,125,343,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEM_M_R,Wetland,434,395,0,403,0,3,467,1040,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEM_M_R,Water,185,511,459,0,0,4,563,933,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEM_M_R,Forest,653,0,605,321,3,9,743,1155,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEM_M_R,Non_Water,1,0,0,3,0,0,2,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEM_M_R,Shrubland,85,29,72,18,3,5,87,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEM_M_R,Bareland,20,6,8,23,0,0,0,19,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEM_M_R,Cropland,176,7,36,1,0,4,130,62,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEM_M_R,Built-up,31,1,1,1,0,0,70,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEM_M_R,Grassland,0,0,0,171,0,0,0,0,0,90
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEM_M_R,Shrubland,0,0,0,103,0,0,0,0,0,50
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEM_M_R,Wetland,0,0,0,891,0,0,0,0,0,703
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEM_M_R,Forest,0,0,0,833,0,0,0,0,0,521
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEM_M_R,Water,0,0,0,0,0,0,0,0,0,1023
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEM_M_R,Bareland,0,0,0,189,0,0,0,0,0,141
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEM_M_R,Cropland,0,0,0,38,0,0,0,0,0,14
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEM_M_R,Built-up,0,0,0,10,0,0,0,0,0,5
