Dataset,MajorityClass,Grassland,Wetland,Forest,Water,Bareland,Built-up,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R,Grassland,0,8,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R,Cropland,6,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R,Wetland,38,0,32,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R,Bareland,4,1,6,17,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R,Built-up,10,0,5,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R,Water,54,27,47,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R,Forest,58,19,0,31,15,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R,Grassland,0,8,0,2,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R,Bareland,0,4,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R,Forest,0,25,0,11,0,0,38,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R,Wetland,0,0,0,2,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R,Water,0,31,0,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWT_M_R,Grassland,0,0,0,7,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWT_M_R,Wetland,0,0,0,43,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWT_M_R,Bareland,0,0,0,16,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWT_M_R,Built-up,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWT_M_R,Forest,0,0,0,51,0,0,0,27,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWT_M_R,Water,0,0,0,0,0,0,0,60,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,Forest,0,20,0,34,1,10,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,Water,0,21,29,0,6,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,Grassland,0,1,11,4,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,Wetland,0,0,16,18,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,Cropland,0,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,Bareland,0,0,6,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,Wetland,0,0,4,2,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,Bareland,5,4,6,1,0,2,0,0,2,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,Built-up,2,0,3,0,0,0,0,0,1,0,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,Water,26,31,34,0,21,5,0,0,1,7,14
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,Forest,21,25,0,11,25,9,0,0,10,11,18
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,Grassland,0,8,6,2,2,1,0,0,3,0,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,Cropland,0,0,2,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,Wetland,21,0,33,19,1,0,0,0,8,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,Water,18,8,57,0,31,0,0,0,7,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,Forest,7,2,0,9,5,0,0,0,4,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,Grassland,0,0,4,0,2,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
