Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Wetland,Water,Grassland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LTH_M_R,Grassland,186,78,23,34,16,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTH_M_R,Non_Wetland,5,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTH_M_R,Shrubland,28,10,0,4,1,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTH_M_R,Cropland,153,0,16,49,0,3,226,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTH_M_R,Bareland,90,26,0,26,5,7,186,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTH_M_R,Built-up,71,49,16,0,0,2,134,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTH_M_R,Water,373,5,82,1,92,0,333,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTH_M_R,Forest,0,66,24,42,54,41,412,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTH_M_R,Wetland,59,3,4,0,0,21,100,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTH_M_R,Non_Wetland,0,0,0,0,5,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTH_M_R,Shrubland,16,0,25,3,10,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTH_M_R,Grassland,94,0,149,16,68,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTH_M_R,Cropland,93,0,108,35,31,4,292,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTH_M_R,Bareland,17,0,0,6,8,8,94,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTH_M_R,Built-up,19,0,82,0,11,0,66,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTH_M_R,Water,88,0,204,29,175,0,298,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTH_M_R,Forest,0,0,415,35,288,114,556,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTH_M_R,Wetland,23,0,113,0,0,14,44,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTH_M_R,Grassland,27,48,254,61,3,23,0,53,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTH_M_R,Forest,0,43,645,33,38,174,443,281,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTH_M_R,Non_Wetland,0,0,2,0,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTH_M_R,Shrubland,1,0,18,8,0,1,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTH_M_R,Bareland,0,0,0,6,0,1,27,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTH_M_R,Cropland,11,0,228,85,0,4,208,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTH_M_R,Wetland,0,1,168,1,0,37,37,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTH_M_R,Built-up,1,0,119,0,0,0,58,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTH_M_R,Water,18,3,430,47,5,0,101,28,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTH_M_R,Grassland,0,0,0,0,49,37,0,0,91,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTH_M_R,Shrubland,0,0,0,0,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTH_M_R,Bareland,0,0,0,0,11,22,0,0,71,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTH_M_R,Cropland,0,0,0,0,1,5,0,0,31,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTH_M_R,Forest,0,0,0,0,209,129,0,0,350,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTH_M_R,Built-up,0,0,0,0,1,3,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTH_M_R,Wetland,0,0,0,0,0,8,0,0,34,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTH_M_R,Water,0,0,0,0,169,0,0,0,112,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTH_M_R,Grassland,160,229,14,63,49,37,0,278,0,28,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTH_M_R,Bareland,34,128,0,73,11,22,0,163,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTH_M_R,Forest,0,248,59,67,209,129,40,377,0,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTH_M_R,Cropland,62,0,0,29,1,5,3,149,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTH_M_R,Built-up,20,68,3,0,1,3,0,79,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTH_M_R,Wetland,5,3,0,0,0,8,0,16,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTH_M_R,Water,138,71,32,19,169,0,2,159,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTH_M_R,Bareland,0,0,0,0,0,26,0,0,0,0,12,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTH_M_R,Grassland,0,0,0,0,0,13,0,0,0,0,28,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTH_M_R,Wetland,0,0,0,0,0,28,0,0,0,0,36,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTH_M_R,Water,0,0,0,0,0,0,0,0,0,0,201,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTH_M_R,Forest,0,0,0,0,0,73,0,0,0,0,120,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTH_M_R,Cropland,0,0,0,0,0,2,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTH_M_R,Shrubland,0,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTH_M_R,Grassland,91,347,5,76,2,60,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTH_M_R,Forest,0,228,0,148,56,240,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTH_M_R,Bareland,26,92,0,61,52,46,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTH_M_R,Built-up,2,37,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTH_M_R,Shrubland,0,8,0,3,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTH_M_R,Wetland,26,14,0,7,0,58,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTH_M_R,Water,42,65,0,16,33,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTH_M_R,Cropland,14,0,0,24,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTH_M_R,Forest,0,72,42,0,4,35,57,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTH_M_R,Cropland,49,0,63,0,1,11,48,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTH_M_R,Bareland,80,15,0,0,8,47,17,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTH_M_R,Shrubland,16,2,2,0,0,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTH_M_R,Wetland,131,5,1,0,0,38,9,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTH_M_R,Built-up,55,29,20,0,0,15,11,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTH_M_R,Water,266,18,6,0,17,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTH_M_R,Grassland,148,66,60,0,7,54,0,0,0,0,0,0
