Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Grassland,Water,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MRS_M_R,Grassland,132,30,22,35,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRS_M_R,Non_Wetland,3,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRS_M_R,Shrubland,11,0,0,1,18,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRS_M_R,Bareland,12,0,0,1,20,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRS_M_R,Built-up,20,0,3,0,26,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRS_M_R,Wetland,64,0,4,0,54,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRS_M_R,Forest,0,14,2,11,158,87,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRS_M_R,Water,214,27,23,1,125,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRS_M_R,Cropland,21,1,0,6,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRS_M_R,Non_Wetland,3,2,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRS_M_R,Shrubland,5,3,2,0,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRS_M_R,Grassland,41,21,52,5,0,16,21,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRS_M_R,Wetland,13,0,1,0,52,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRS_M_R,Bareland,2,0,0,0,25,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRS_M_R,Built-up,5,0,13,0,21,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRS_M_R,Forest,0,213,25,0,326,123,36,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRS_M_R,Cropland,4,0,7,1,30,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRS_M_R,Water,69,100,7,0,120,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRS_M_R,Grassland,10,68,92,10,0,22,40,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRS_M_R,Forest,0,142,70,0,273,155,76,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRS_M_R,Non_Wetland,0,4,0,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRS_M_R,Shrubland,0,5,2,1,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRS_M_R,Water,29,56,20,0,71,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRS_M_R,Cropland,0,2,18,4,18,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRS_M_R,Wetland,12,0,5,0,34,32,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRS_M_R,Bareland,0,3,0,1,5,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRS_M_R,Built-up,0,1,16,0,17,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRS_M_R,Grassland,0,34,0,0,0,6,0,115,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRS_M_R,Wetland,0,0,0,0,0,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRS_M_R,Shrubland,0,0,0,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRS_M_R,Cropland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRS_M_R,Water,0,166,0,0,0,0,0,110,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRS_M_R,Bareland,0,2,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRS_M_R,Forest,0,159,0,0,0,31,0,322,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRS_M_R,Built-up,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRS_M_R,Grassland,0,0,0,0,0,22,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRS_M_R,Wetland,0,0,0,0,0,49,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRS_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRS_M_R,Water,0,0,0,0,0,0,0,0,79,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRS_M_R,Bareland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRS_M_R,Forest,0,0,0,0,0,108,0,0,66,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRS_M_R,Grassland,81,34,37,41,0,6,102,0,0,87,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRS_M_R,Forest,0,159,105,36,115,31,128,0,0,51,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRS_M_R,Wetland,1,0,4,1,7,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRS_M_R,Bareland,2,2,0,7,1,0,5,0,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRS_M_R,Built-up,0,0,0,0,1,0,14,0,0,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRS_M_R,Water,59,166,68,12,65,0,51,0,0,9,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRS_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRS_M_R,Cropland,1,0,0,1,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRS_M_R,Grassland,54,2,0,38,0,49,0,0,0,83,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRS_M_R,Forest,0,31,0,19,0,228,0,0,0,35,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRS_M_R,Bareland,2,0,0,3,0,1,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRS_M_R,Built-up,0,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRS_M_R,Water,23,13,3,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRS_M_R,Wetland,14,0,3,0,0,47,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRS_M_R,Forest,0,1,4,0,13,9,0,0,0,19,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRS_M_R,Bareland,1,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRS_M_R,Shrubland,11,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRS_M_R,Wetland,108,0,1,0,3,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRS_M_R,Grassland,121,6,25,0,0,30,0,0,0,35,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRS_M_R,Built-up,4,0,1,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRS_M_R,Water,239,16,3,0,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRS_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0,2
