Dataset,MajorityClass,Cropland,Forest,Built-up,Bareland,Water,Wetland,Grassland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KEB_M_R,Grassland,118,188,34,23,60,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEB_M_R,Non_Wetland,0,3,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEB_M_R,Forest,192,0,72,45,319,193,962,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEB_M_R,Cropland,0,453,178,190,216,77,911,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEB_M_R,Wetland,44,334,7,22,264,0,481,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEB_M_R,Bareland,19,42,33,0,24,5,137,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEB_M_R,Shrubland,2,8,0,1,5,4,23,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEB_M_R,Built-up,105,205,0,114,54,4,297,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEB_M_R,Water,225,714,66,221,0,401,1042,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEB_M_R,Non_Wetland,0,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEB_M_R,Grassland,0,57,33,28,125,177,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEB_M_R,Cropland,0,141,168,267,257,328,457,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEB_M_R,Forest,0,0,73,85,444,801,279,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEB_M_R,Water,0,234,71,62,0,675,167,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEB_M_R,Shrubland,0,1,1,6,1,4,5,0,0,0,0,0
