Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Cropland,Water,Grassland,Non_Wetland,Shrubland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22NDG_M_R,Grassland,122,18,14,10,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDG_M_R,Non_Wetland,3,0,0,1,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDG_M_R,Wetland,503,0,68,23,2,130,581,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDG_M_R,Bareland,82,7,0,9,0,39,127,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDG_M_R,Water,435,229,174,39,0,0,356,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDG_M_R,Shrubland,29,3,11,9,2,1,43,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDG_M_R,Built-up,62,3,22,0,0,5,133,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDG_M_R,Forest,0,55,31,24,0,85,425,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDG_M_R,Cropland,20,0,1,2,0,0,56,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDG_M_R,Permanent_ice_and_snow,5,0,2,1,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDG_M_R,Grassland,0,26,0,0,0,3,0,433,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDG_M_R,Wetland,0,0,0,0,0,63,0,768,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDG_M_R,Forest,0,220,0,0,0,84,0,1036,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDG_M_R,Bareland,0,25,0,0,0,25,0,167,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDG_M_R,Shrubland,0,0,0,0,0,0,0,70,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDG_M_R,Built-up,0,0,0,0,0,1,0,139,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDG_M_R,Water,0,316,0,0,0,0,0,496,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDG_M_R,Cropland,0,0,0,0,0,0,0,56,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,19,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDG_M_R,Grassland,65,255,76,11,0,45,0,0,9,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDG_M_R,Non_Wetland,1,2,2,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDG_M_R,Bareland,15,99,0,4,0,25,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDG_M_R,Water,123,495,251,0,0,0,78,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDG_M_R,Shrubland,10,30,16,6,0,12,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDG_M_R,Wetland,55,0,102,2,0,382,87,0,4,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDG_M_R,Built-up,11,79,43,0,0,28,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDG_M_R,Forest,0,637,275,36,0,181,253,0,62,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDG_M_R,Cropland,7,43,6,1,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDG_M_R,Permanent_ice_and_snow,1,17,1,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDG_M_R,Non_Wetland,0,5,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDG_M_R,Forest,0,496,322,38,69,140,350,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDG_M_R,Grassland,2,199,120,7,50,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDG_M_R,Bareland,0,40,0,2,4,12,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDG_M_R,Water,92,436,355,9,13,0,61,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDG_M_R,Shrubland,1,35,22,5,17,3,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDG_M_R,Wetland,30,0,231,1,86,249,186,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDG_M_R,Built-up,0,73,77,0,8,9,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDG_M_R,Cropland,0,18,22,2,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDG_M_R,Permanent_ice_and_snow,0,2,7,0,7,1,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDG_M_R,Bareland,0,0,0,0,0,56,0,0,0,23,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDG_M_R,Grassland,0,0,0,0,0,44,0,0,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDG_M_R,Shrubland,0,0,0,0,0,6,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDG_M_R,Wetland,0,0,0,0,0,385,0,0,0,218,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDG_M_R,Water,0,0,0,0,0,0,0,0,0,288,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDG_M_R,Built-up,0,0,0,0,0,23,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDG_M_R,Forest,0,0,0,0,0,148,0,0,0,115,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDG_M_R,Forest,0,220,0,73,0,84,97,0,571,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDG_M_R,Grassland,138,26,0,46,0,3,0,0,357,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDG_M_R,Wetland,188,0,0,30,0,63,38,0,481,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDG_M_R,Bareland,65,25,0,79,0,25,14,0,252,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDG_M_R,Built-up,19,0,0,0,0,1,21,0,106,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDG_M_R,Water,321,316,1,33,0,0,12,0,375,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDG_M_R,Cropland,9,0,0,4,0,0,2,0,64,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDG_M_R,Permanent_ice_and_snow,1,0,0,1,0,0,0,0,18,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDG_M_R,Bareland,33,31,0,71,19,60,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDG_M_R,Grassland,116,43,0,45,54,35,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDG_M_R,Forest,0,147,5,124,24,259,0,0,0,0,0
