Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Wetland,Grassland,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NQF_M_R,Grassland,151,39,12,6,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQF_M_R,Wetland,239,11,9,69,0,330,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQF_M_R,Non_Wetland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQF_M_R,Bareland,30,8,0,11,6,130,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQF_M_R,Shrubland,14,6,3,0,0,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQF_M_R,Built-up,50,0,15,0,0,74,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQF_M_R,Forest,0,67,6,70,16,292,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQF_M_R,Water,311,2,44,0,163,241,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQF_M_R,Cropland,21,10,0,0,0,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQF_M_R,Permanent_ice_and_snow,2,0,4,0,0,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQF_M_R,Grassland,0,0,0,5,37,0,217,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQF_M_R,Wetland,0,0,0,43,0,0,176,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQF_M_R,Bareland,0,0,0,5,27,0,67,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQF_M_R,Shrubland,0,0,0,0,0,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQF_M_R,Forest,0,0,0,42,136,0,586,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQF_M_R,Water,0,0,0,0,237,0,242,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQF_M_R,Built-up,0,0,0,1,0,0,41,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQF_M_R,Cropland,0,0,0,1,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQF_M_R,Grassland,54,31,81,17,91,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQF_M_R,Non_Wetland,0,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQF_M_R,Bareland,9,6,0,45,68,57,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQF_M_R,Forest,0,31,112,167,432,342,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQF_M_R,Shrubland,5,3,5,4,10,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQF_M_R,Wetland,23,0,3,182,0,95,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQF_M_R,Water,58,0,5,0,358,153,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQF_M_R,Built-up,7,0,36,1,23,44,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQF_M_R,Cropland,7,1,6,0,2,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQF_M_R,Permanent_ice_and_snow,2,0,2,0,7,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQF_M_R,Wetland,5,0,128,268,0,114,0,4,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQF_M_R,Grassland,17,15,150,23,131,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQF_M_R,Non_Wetland,0,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQF_M_R,Shrubland,0,2,12,2,15,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQF_M_R,Bareland,0,3,0,6,3,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQF_M_R,Forest,0,18,295,153,277,388,0,5,33,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQF_M_R,Water,13,0,79,0,271,105,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQF_M_R,Cropland,0,0,22,0,9,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQF_M_R,Built-up,0,0,77,0,19,46,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQF_M_R,Permanent_ice_and_snow,0,0,24,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQF_M_R,Grassland,160,32,11,5,37,0,0,237,35,0,0,0
