Dataset,MajorityClass,Grassland,Forest,Bareland,Built-up,Water,Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19MDU_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDU_M_R,Grassland,0,15,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDU_M_R,Wetland,37,60,1,0,51,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDU_M_R,Built-up,19,19,4,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDU_M_R,Water,90,248,2,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDU_M_R,Forest,156,0,6,4,122,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDU_M_R,Bareland,1,2,0,0,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDU_M_R,Grassland,0,3,1,7,1,0,15,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDU_M_R,Built-up,11,6,4,0,0,0,8,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDU_M_R,Water,75,102,126,35,0,184,39,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDU_M_R,Bareland,2,0,0,5,0,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDU_M_R,Wetland,2,2,1,3,1,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDU_M_R,Forest,135,0,151,62,54,118,83,18,15,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDU_M_R,Grassland,0,0,0,0,1,0,0,0,0,32,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDU_M_R,Water,0,0,0,0,0,184,0,0,0,161,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDU_M_R,Built-up,0,0,0,0,0,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDU_M_R,Wetland,0,0,0,0,1,0,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDU_M_R,Forest,0,0,0,0,54,118,0,0,0,419,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDU_M_R,Bareland,0,0,0,0,0,4,0,0,0,4,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDU_M_R,Grassland,0,5,0,10,1,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDU_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDU_M_R,Wetland,3,0,0,0,41,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDU_M_R,Bareland,0,1,0,4,3,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDU_M_R,Built-up,3,1,0,0,1,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDU_M_R,Water,0,53,0,0,0,190,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDU_M_R,Forest,41,0,0,26,157,280,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDU_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDU_M_R,Built-up,35,2,0,0,1,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDU_M_R,Grassland,0,0,0,0,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDU_M_R,Water,66,83,0,0,0,103,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDU_M_R,Wetland,10,6,0,0,31,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDU_M_R,Bareland,7,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDU_M_R,Forest,79,0,0,0,159,198,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDU_M_R,Water,0,0,0,0,0,0,0,0,0,0,203,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDU_M_R,Wetland,0,0,0,0,48,0,0,0,0,0,36,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDU_M_R,Grassland,0,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDU_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDU_M_R,Bareland,0,0,0,0,2,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDU_M_R,Forest,0,0,0,0,168,0,0,0,0,0,125,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDU_M_R,Water,0,53,45,15,0,62,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDU_M_R,Grassland,0,12,0,23,4,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDU_M_R,Forest,0,0,0,91,245,78,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDU_M_R,Wetland,0,24,5,9,43,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDU_M_R,Bareland,0,1,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDU_M_R,Built-up,0,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDU_M_R,Water,15,332,43,0,0,20,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDU_M_R,Wetland,6,109,7,0,18,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDU_M_R,Forest,2,0,1,0,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDU_M_R,Grassland,0,37,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDU_M_R,Built-up,0,16,1,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDU_M_R,Bareland,0,1,0,0,0,0,0,0,0,0,0,0
