Dataset,MajorityClass,Forest,Built-up,Wetland,Bareland,Water,Grassland,Shrubland,Cropland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_21NTA_M_R,Grassland,62,18,8,5,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTA_M_R,Shrubland,12,3,1,1,0,37,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTA_M_R,Wetland,79,0,0,5,45,125,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTA_M_R,Bareland,7,11,0,0,1,33,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTA_M_R,Water,191,0,23,36,0,193,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTA_M_R,Forest,0,19,4,2,61,203,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTA_M_R,Built-up,27,0,0,5,0,42,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTA_M_R,Cropland,5,4,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTA_M_R,Grassland,34,3,37,45,8,0,27,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTA_M_R,Shrubland,7,0,4,4,1,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTA_M_R,Bareland,3,3,1,0,4,24,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTA_M_R,Forest,0,11,209,77,116,250,39,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTA_M_R,Water,87,0,194,16,0,113,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTA_M_R,Wetland,23,0,0,8,33,74,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTA_M_R,Built-up,6,0,6,21,0,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTA_M_R,Cropland,1,0,1,2,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTA_M_R,Grassland,140,32,43,0,9,0,196,24,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTA_M_R,Forest,0,32,140,32,50,7,212,23,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTA_M_R,Wetland,12,0,0,0,6,0,20,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTA_M_R,Bareland,16,3,3,0,0,4,38,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTA_M_R,Water,131,4,164,26,0,3,108,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTA_M_R,Shrubland,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTA_M_R,Built-up,20,0,0,0,0,8,36,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTA_M_R,Cropland,5,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTA_M_R,Shrubland,0,0,0,0,0,0,0,0,13,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTA_M_R,Grassland,0,0,43,0,9,0,0,0,102,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTA_M_R,Wetland,0,0,0,0,6,0,0,0,32,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTA_M_R,Forest,0,0,140,0,50,0,0,0,292,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTA_M_R,Water,0,0,164,0,0,0,0,0,141,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTA_M_R,Bareland,0,0,3,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTA_M_R,Built-up,0,0,0,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTA_M_R,Cropland,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTA_M_R,Shrubland,1,0,8,15,4,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTA_M_R,Forest,0,18,154,123,103,255,19,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTA_M_R,Grassland,17,10,59,64,17,0,18,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTA_M_R,Water,21,0,158,36,0,57,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTA_M_R,Wetland,6,0,0,3,54,52,11,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTA_M_R,Built-up,0,0,0,25,1,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTA_M_R,Cropland,0,0,1,6,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTA_M_R,Bareland,0,2,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTA_M_R,Shrubland,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTA_M_R,Grassland,0,0,0,0,14,0,0,0,0,4
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTA_M_R,Wetland,0,0,0,0,33,0,0,0,0,42
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTA_M_R,Water,0,0,0,0,0,0,0,0,0,89
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTA_M_R,Bareland,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTA_M_R,Forest,0,0,0,0,87,0,0,0,0,49
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTA_M_R,Shrubland,1,4,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTA_M_R,Grassland,37,33,10,1,16,0,0,84,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTA_M_R,Bareland,5,11,1,0,1,0,0,10,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTA_M_R,Wetland,30,2,0,1,80,0,0,14,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTA_M_R,Forest,0,71,17,1,148,0,0,60,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTA_M_R,Water,44,1,12,12,0,0,0,6,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTA_M_R,Shrubland,11,0,0,1,2,3,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTA_M_R,Bareland,4,0,0,0,0,1,0,3,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTA_M_R,Forest,0,0,0,9,32,31,0,23,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTA_M_R,Wetland,117,0,0,0,62,41,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTA_M_R,Water,213,0,29,16,0,11,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTA_M_R,Built-up,10,0,0,3,0,3,0,4,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTA_M_R,Grassland,68,0,6,19,18,0,0,25,0,0
