Dataset,MajorityClass,Forest,Water,Built-up,Bareland,Cropland,Grassland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Grassland,90,1,3,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Shrubland,30,1,0,2,0,57,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Non_Wetland,6,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Wetland,144,74,2,35,0,127,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Bareland,520,216,20,0,3,561,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Water,385,0,1,97,0,186,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Cropland,20,3,2,0,0,46,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Built-up,9,1,0,0,0,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R,Forest,0,110,5,30,4,307,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,Shrubland,13,0,0,19,0,15,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,Non_Wetland,1,0,0,2,0,1,6,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,Grassland,42,0,0,175,0,0,24,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,Bareland,33,6,0,0,0,49,24,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,Forest,0,88,0,658,0,252,260,123,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,Water,81,0,0,711,0,57,132,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,Cropland,1,0,0,42,0,17,6,5,0,0,0,0
