Dataset,MajorityClass,Grassland,Forest,Bareland,Built-up,Wetland,Water,Cropland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MQT_M_R,Shrubland,263,112,47,36,125,6,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQT_M_R,Non_Wetland,13,4,2,1,21,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQT_M_R,Bareland,1187,292,0,70,635,339,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQT_M_R,Built-up,408,191,78,0,123,18,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQT_M_R,Forest,852,0,138,79,602,57,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQT_M_R,Grassland,0,94,44,30,232,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQT_M_R,Wetland,1479,563,422,41,0,299,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQT_M_R,Non_Water,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQT_M_R,Water,639,271,523,13,873,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQT_M_R,Cropland,129,45,34,17,87,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQT_M_R,Lichens_and_Mosses,2,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MQT_M_R,Permanent_ice_and_snow,42,21,29,0,5,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQT_M_R,Non_Wetland,5,1,5,3,6,5,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQT_M_R,Shrubland,24,18,54,32,24,39,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQT_M_R,Grassland,0,63,260,94,149,143,0,287,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQT_M_R,Wetland,331,370,868,186,0,1133,0,697,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQT_M_R,Bareland,145,88,0,126,181,857,0,187,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQT_M_R,Built-up,38,46,80,0,46,77,0,136,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQT_M_R,Forest,146,0,384,291,320,235,0,690,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQT_M_R,Non_Water,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQT_M_R,Water,40,206,335,152,179,0,0,227,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQT_M_R,Cropland,36,12,45,28,22,45,0,59,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQT_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQT_M_R,Permanent_ice_and_snow,0,3,42,4,1,15,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQT_M_R,Wetland,0,0,0,0,0,101,0,0,2870,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQT_M_R,Shrubland,0,0,0,0,0,0,0,0,319,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQT_M_R,Grassland,0,0,0,0,38,1,0,0,954,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQT_M_R,Forest,0,0,0,0,328,60,0,0,1696,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQT_M_R,Bareland,0,0,0,0,327,138,0,0,1525,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQT_M_R,Built-up,0,0,0,0,60,3,0,0,304,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQT_M_R,Water,0,0,0,0,572,0,0,0,873,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQT_M_R,Cropland,0,0,0,0,3,1,0,0,155,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQT_M_R,Permanent_ice_and_snow,0,0,0,0,3,0,0,0,21,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQT_M_R,Non_Wetland,10,2,3,2,16,1,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQT_M_R,Grassland,0,34,91,49,245,0,0,366,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQT_M_R,Wetland,1541,422,869,29,0,110,0,926,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQT_M_R,Bareland,891,64,0,41,251,5,0,457,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQT_M_R,Built-up,129,40,223,0,114,1,0,305,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQT_M_R,Forest,443,0,382,127,629,6,0,1238,0,0,0,0
