Dataset,MajorityClass,Cropland,Bareland,Built-up,Water,Forest,Wetland,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24KUC_M_R,Grassland,154,85,86,44,349,271,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUC_M_R,Non_Wetland,1,0,0,0,6,10,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUC_M_R,Bareland,51,0,92,69,253,157,475,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUC_M_R,Built-up,164,313,0,128,495,252,661,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUC_M_R,Water,65,405,141,0,810,577,821,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUC_M_R,Forest,206,252,228,218,0,521,1068,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUC_M_R,Wetland,46,37,31,95,265,0,333,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUC_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUC_M_R,Shrubland,16,11,9,3,31,26,32,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUC_M_R,Cropland,0,134,95,19,296,165,428,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUC_M_R,Permanent_ice_and_snow,4,0,1,0,0,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUC_M_R,Non_Wetland,0,1,1,0,1,10,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUC_M_R,Grassland,0,87,102,145,114,328,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUC_M_R,Wetland,0,214,73,336,46,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUC_M_R,Bareland,0,0,249,199,28,53,139,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUC_M_R,Built-up,0,279,0,183,85,219,170,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUC_M_R,Forest,0,350,355,489,0,968,560,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUC_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUC_M_R,Water,0,255,326,0,173,521,214,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUC_M_R,Shrubland,0,13,11,7,9,24,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUC_M_R,Cropland,0,135,144,47,82,209,350,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUC_M_R,Permanent_ice_and_snow,0,1,0,1,2,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUC_M_R,Wetland,0,0,0,25,0,0,0,1384,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUC_M_R,Grassland,0,0,0,7,0,39,0,698,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUC_M_R,Bareland,0,0,0,10,0,142,0,281,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUC_M_R,Forest,0,0,0,111,0,254,0,1649,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUC_M_R,Built-up,0,0,0,38,0,158,0,544,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUC_M_R,Water,0,0,0,0,0,473,0,769,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUC_M_R,Shrubland,0,0,0,0,0,0,0,57,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUC_M_R,Cropland,0,0,0,0,0,4,0,366,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUC_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUC_M_R,Non_Wetland,0,4,1,0,3,2,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUC_M_R,Wetland,4,259,49,152,99,0,158,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUC_M_R,Bareland,0,0,111,27,16,16,163,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUC_M_R,Forest,33,492,325,253,0,544,582,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUC_M_R,Grassland,33,160,108,28,195,91,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUC_M_R,Built-up,1,435,0,122,95,138,234,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUC_M_R,Water,0,515,153,0,196,344,112,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUC_M_R,Shrubland,0,26,14,1,11,7,19,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUC_M_R,Cropland,0,179,158,3,145,28,366,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUC_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUC_M_R,Grassland,0,0,0,311,0,0,0,0,44,0,0,0
