Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_19KDA_M_R,Shrubland,3,1,1,2,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDA_M_R,Grassland,0,4,19,17,8,4,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDA_M_R,Cropland,51,0,4,23,9,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDA_M_R,Wetland,64,0,0,21,0,16,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDA_M_R,Lichens_and_Mosses,2,0,1,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDA_M_R,Bareland,83,8,11,0,20,36,7,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDA_M_R,Built-up,10,6,0,5,0,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDA_M_R,Forest,54,2,22,14,2,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDA_M_R,Water,80,0,34,66,2,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDA_M_R,Permanent_ice_and_snow,14,0,0,17,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDA_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDA_M_R,Grassland,0,0,5,0,0,2,0,0,46,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDA_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDA_M_R,Bareland,0,0,24,0,0,9,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDA_M_R,Forest,0,0,1,0,0,0,0,0,39,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDA_M_R,Wetland,0,0,0,0,0,2,0,0,62,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDA_M_R,Water,0,0,29,0,0,0,0,0,44,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDA_M_R,Cropland,0,0,2,0,0,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDA_M_R,Permanent_ice_and_snow,0,0,4,0,0,4,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDA_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDA_M_R,Grassland,0,0,0,0,0,16,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDA_M_R,Bareland,0,0,0,0,0,56,0,0,0,26,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDA_M_R,Wetland,0,0,0,0,0,23,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDA_M_R,Cropland,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDA_M_R,Water,0,0,0,0,0,0,0,0,0,45,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDA_M_R,Permanent_ice_and_snow,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDA_M_R,Forest,0,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDA_M_R,Water,19,1,29,38,17,0,16,3,0,0,75,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDA_M_R,Cropland,17,0,2,17,12,0,9,0,0,0,27,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDA_M_R,Wetland,5,2,0,10,2,2,15,0,0,0,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDA_M_R,Bareland,27,2,24,0,36,9,20,4,0,0,66,16
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDA_M_R,Built-up,6,0,0,6,0,0,2,0,0,0,8,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDA_M_R,Forest,10,4,1,13,8,0,0,0,0,0,21,4
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDA_M_R,Grassland,0,5,5,13,10,2,17,0,0,0,22,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDA_M_R,Permanent_ice_and_snow,1,0,4,6,4,4,4,0,0,0,15,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDA_M_R,Grassland,0,23,25,14,12,12,16,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDA_M_R,Wetland,0,8,0,7,5,15,2,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDA_M_R,Bareland,0,41,18,0,24,35,5,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDA_M_R,Built-up,0,1,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDA_M_R,Forest,0,7,18,5,4,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDA_M_R,Cropland,0,0,9,6,13,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDA_M_R,Water,0,17,34,42,15,0,3,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDA_M_R,Permanent_ice_and_snow,0,2,2,19,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDA_M_R,Wetland,13,4,0,14,0,25,21,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDA_M_R,Bareland,4,16,2,0,0,27,6,18,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDA_M_R,Forest,1,2,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDA_M_R,Grassland,0,7,3,11,0,5,7,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDA_M_R,Built-up,0,2,0,9,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDA_M_R,Water,0,1,8,41,0,0,16,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDA_M_R,Cropland,0,0,0,2,0,0,1,0,0,0,0,0
