Dataset,MajorityClass,Grassland,Forest,Cropland,Bareland,Wetland,Water,Built-up,Shrubland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_21LZF_M_R,Shrubland,180,94,36,24,21,7,11,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZF_M_R,Grassland,0,245,158,60,20,7,26,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZF_M_R,Non_Wetland,7,5,3,1,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZF_M_R,Cropland,491,317,0,156,4,6,90,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZF_M_R,Wetland,174,161,5,9,0,57,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZF_M_R,Bareland,88,45,44,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZF_M_R,Built-up,103,65,50,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZF_M_R,Water,356,408,12,86,178,0,2,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZF_M_R,Forest,647,0,209,89,109,87,71,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZF_M_R,Non_Wetland,5,2,0,0,10,0,0,4,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZF_M_R,Shrubland,76,15,0,8,47,5,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZF_M_R,Grassland,0,95,0,41,138,24,14,130,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZF_M_R,Cropland,547,225,0,92,134,6,99,187,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZF_M_R,Wetland,72,16,0,0,0,72,0,25,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZF_M_R,Bareland,87,23,0,0,8,4,29,10,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZF_M_R,Forest,760,0,0,65,584,178,17,460,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZF_M_R,Water,310,93,0,8,329,0,4,107,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZF_M_R,Built-up,55,27,0,61,7,1,0,5,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZF_M_R,Non_Wetland,5,0,1,0,11,3,0,5,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZF_M_R,Grassland,0,38,110,168,125,40,6,187,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZF_M_R,Wetland,82,5,11,12,0,176,0,63,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZF_M_R,Forest,639,0,191,403,478,273,14,614,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZF_M_R,Water,161,43,10,81,276,0,0,165,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZF_M_R,Shrubland,53,5,22,36,30,12,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZF_M_R,Cropland,459,35,0,367,97,19,40,192,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZF_M_R,Bareland,62,1,26,0,11,6,1,15,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZF_M_R,Built-up,101,1,31,98,1,0,0,19,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZF_M_R,Shrubland,0,0,0,0,0,0,0,0,96,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZF_M_R,Wetland,0,0,0,0,0,46,0,0,273,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZF_M_R,Grassland,0,0,0,0,29,34,0,0,274,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZF_M_R,Forest,0,0,0,0,166,144,0,0,971,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZF_M_R,Water,0,0,0,0,192,0,0,0,304,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZF_M_R,Cropland,0,0,0,0,4,13,0,0,238,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZF_M_R,Bareland,0,0,0,0,0,13,0,0,19,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZF_M_R,Built-up,0,0,0,0,0,9,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZF_M_R,Grassland,0,240,260,18,29,34,34,427,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZF_M_R,Wetland,2,90,5,8,0,46,0,94,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZF_M_R,Bareland,6,33,101,0,0,13,24,104,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZF_M_R,Forest,215,0,378,114,166,144,38,657,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZF_M_R,Cropland,114,218,0,10,4,13,62,387,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZF_M_R,Built-up,2,12,81,0,0,9,0,84,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZF_M_R,Water,9,198,75,42,192,0,4,249,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZF_M_R,Shrubland,7,14,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZF_M_R,Grassland,0,0,0,0,0,57,0,0,0,7
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZF_M_R,Shrubland,0,0,0,0,0,5,0,0,0,2
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZF_M_R,Wetland,0,0,0,0,0,77,0,0,0,83
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZF_M_R,Water,0,0,0,0,0,0,0,0,0,196
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZF_M_R,Forest,0,0,0,0,0,164,0,0,0,136
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZF_M_R,Cropland,0,0,0,0,0,8,0,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZF_M_R,Bareland,0,0,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZF_M_R,Grassland,0,218,587,11,4,67,106,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZF_M_R,Shrubland,0,42,101,0,1,22,25,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZF_M_R,Forest,0,0,466,1,78,395,158,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZF_M_R,Bareland,0,4,124,0,0,4,74,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZF_M_R,Built-up,0,0,30,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZF_M_R,Water,0,113,105,0,61,0,13,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZF_M_R,Wetland,0,115,40,0,0,115,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZF_M_R,Cropland,0,126,0,16,0,5,111,0,0,0
