Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_20KQV_M_R,Shrubland,3,3,1,2,1,2,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQV_M_R,Grassland,0,9,12,3,2,4,17,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQV_M_R,Cropland,89,0,21,46,25,30,73,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQV_M_R,Wetland,89,26,0,9,0,19,48,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQV_M_R,Lichens_and_Mosses,2,1,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQV_M_R,Bareland,45,19,0,0,16,14,34,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQV_M_R,Built-up,15,7,0,9,0,1,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQV_M_R,Water,130,41,15,60,1,0,101,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQV_M_R,Forest,92,37,23,51,28,25,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQV_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQV_M_R,Grassland,0,0,7,0,0,7,0,23,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQV_M_R,Cropland,0,0,16,0,0,16,0,26,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQV_M_R,Forest,0,0,35,0,0,30,0,58,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQV_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQV_M_R,Wetland,0,0,0,0,0,8,0,52,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQV_M_R,Bareland,0,0,5,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQV_M_R,Water,0,0,35,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQV_M_R,Shrubland,0,0,0,0,0,4,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQV_M_R,Grassland,0,0,0,0,0,14,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQV_M_R,Cropland,0,0,0,0,0,72,0,0,15,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQV_M_R,Wetland,0,0,0,0,0,48,0,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQV_M_R,Bareland,0,0,0,0,0,34,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQV_M_R,Water,0,0,0,0,0,0,0,0,127,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQV_M_R,Forest,0,0,0,0,0,69,0,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQV_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQV_M_R,Water,19,53,35,36,16,0,48,0,0,55,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQV_M_R,Cropland,36,0,16,30,27,16,53,0,0,53,15
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQV_M_R,Built-up,8,10,0,6,0,1,7,0,0,7,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQV_M_R,Forest,33,67,35,26,31,30,0,0,0,55,16
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQV_M_R,Grassland,0,23,7,3,4,7,22,0,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQV_M_R,Wetland,1,16,0,2,1,8,19,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQV_M_R,Bareland,25,28,5,0,17,2,25,0,0,25,7
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQV_M_R,Water,0,121,10,7,28,0,47,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQV_M_R,Grassland,0,28,12,0,8,1,17,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQV_M_R,Wetland,0,25,0,4,11,15,28,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQV_M_R,Bareland,0,54,0,0,23,10,20,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQV_M_R,Built-up,0,4,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQV_M_R,Forest,0,74,26,0,40,32,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQV_M_R,Cropland,0,0,1,0,36,3,26,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQV_M_R,Cropland,15,0,4,24,0,15,26,0,0,0,0
