Dataset,MajorityClass,Grassland,Forest,Wetland,Bareland,Built-up,Cropland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24LYN_M_R,Shrubland,26,16,20,2,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYN_M_R,Grassland,0,174,197,14,39,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYN_M_R,Non_Wetland,4,3,15,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYN_M_R,Bareland,314,83,104,0,25,5,31,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYN_M_R,Built-up,407,223,220,142,0,26,45,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYN_M_R,Water,245,80,411,117,39,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYN_M_R,Forest,340,0,399,17,30,12,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYN_M_R,Wetland,293,201,0,64,20,2,119,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYN_M_R,Cropland,152,89,124,30,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYN_M_R,Permanent_ice_and_snow,6,0,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYN_M_R,Non_Wetland,2,1,3,3,3,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYN_M_R,Grassland,0,30,91,103,181,0,73,57,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYN_M_R,Bareland,27,2,9,0,149,0,124,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYN_M_R,Built-up,68,25,74,77,0,0,86,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYN_M_R,Forest,183,0,248,161,243,0,114,144,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYN_M_R,Wetland,60,79,0,215,198,0,494,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYN_M_R,Water,19,25,81,143,208,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYN_M_R,Shrubland,5,1,3,8,13,0,10,0,0,0,0,0
