Dataset,MajorityClass,Forest,Cropland,Built-up,Wetland,Bareland,Water,Grassland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LNM_M_R,Grassland,437,112,113,203,118,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNM_M_R,Non_Wetland,8,1,0,5,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNM_M_R,Forest,0,62,52,223,48,49,525,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNM_M_R,Shrubland,91,33,21,31,18,2,145,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNM_M_R,Cropland,287,0,57,42,44,6,374,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNM_M_R,Wetland,293,0,0,0,23,44,344,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNM_M_R,Bareland,63,22,17,2,0,1,88,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNM_M_R,Built-up,92,7,0,0,16,0,102,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNM_M_R,Water,663,26,7,196,261,0,622,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNM_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNM_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNM_M_R,Wetland,0,0,0,0,0,28,0,424,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNM_M_R,Shrubland,0,0,0,0,0,0,0,94,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNM_M_R,Grassland,0,0,0,118,0,72,0,769,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNM_M_R,Forest,0,0,0,252,0,110,0,936,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNM_M_R,Cropland,0,0,0,11,0,7,0,166,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNM_M_R,Water,0,0,0,322,0,0,0,376,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNM_M_R,Bareland,0,0,0,3,0,4,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNM_M_R,Built-up,0,0,0,5,0,2,0,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNM_M_R,Non_Wetland,4,0,0,5,2,1,6,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNM_M_R,Shrubland,19,0,0,11,23,9,66,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNM_M_R,Grassland,160,0,13,191,148,90,0,0,248,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNM_M_R,Cropland,116,0,10,51,76,15,468,0,192,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNM_M_R,Wetland,94,0,0,0,8,100,459,0,79,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNM_M_R,Bareland,10,0,1,6,0,7,122,0,15,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNM_M_R,Built-up,7,0,0,5,75,0,89,0,38,0,0,0
