Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KKU_M_R,Shrubland,384,119,73,156,102,43,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKU_M_R,Grassland,0,214,51,180,77,44,35,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKU_M_R,Non_Wetland,8,8,1,8,0,15,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKU_M_R,Bareland,362,220,0,182,99,79,151,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKU_M_R,Built-up,333,175,154,191,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKU_M_R,Water,1170,378,324,624,60,135,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKU_M_R,Forest,1408,518,198,0,269,101,297,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKU_M_R,Cropland,896,0,282,485,314,49,84,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKU_M_R,Wetland,173,44,20,63,10,0,96,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKU_M_R,Non_Water,5,2,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKU_M_R,Permanent_ice_and_snow,2,1,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKU_M_R,Non_Wetland,4,0,11,7,0,17,6,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKU_M_R,Shrubland,108,0,88,62,33,70,80,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKU_M_R,Grassland,0,0,149,168,66,116,145,192,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKU_M_R,Cropland,602,0,469,500,332,298,256,516,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKU_M_R,Wetland,22,0,202,15,0,0,118,35,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKU_M_R,Bareland,96,0,0,93,105,16,202,77,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKU_M_R,Built-up,101,0,198,112,0,46,84,153,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKU_M_R,Water,355,0,471,424,55,287,0,417,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKU_M_R,Forest,645,0,563,0,192,585,648,899,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKU_M_R,Non_Water,1,0,0,0,0,0,8,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKU_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKU_M_R,Shrubland,0,0,0,0,0,0,0,0,187,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKU_M_R,Grassland,0,0,0,0,0,32,14,0,338,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKU_M_R,Wetland,0,0,0,0,0,0,12,0,305,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKU_M_R,Water,0,0,0,0,0,470,0,0,546,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKU_M_R,Forest,0,0,0,0,0,246,180,0,1388,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKU_M_R,Bareland,0,0,0,0,0,97,177,0,139,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKU_M_R,Cropland,0,0,0,0,0,36,53,0,638,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKU_M_R,Built-up,0,0,0,0,0,0,32,0,135,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKU_M_R,Grassland,0,83,201,120,16,180,32,202,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKU_M_R,Non_Wetland,11,0,6,2,0,26,0,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKU_M_R,Water,420,27,1248,417,41,455,0,538,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKU_M_R,Forest,671,202,1080,0,57,804,219,902,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKU_M_R,Bareland,108,21,0,73,90,37,21,67,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKU_M_R,Non_Water,1,0,2,0,0,0,5,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKU_M_R,Shrubland,108,21,118,54,20,68,28,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKU_M_R,Wetland,62,0,145,9,1,0,25,54,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKU_M_R,Built-up,214,16,313,78,0,89,7,206,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKU_M_R,Cropland,684,0,641,315,195,329,42,500,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKU_M_R,Grassland,0,0,0,0,0,0,30,0,0,150,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKU_M_R,Bareland,0,0,0,0,0,0,161,0,0,190,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKU_M_R,Water,0,0,0,0,0,0,0,0,0,1603,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKU_M_R,Shrubland,0,0,0,0,0,0,22,0,0,118,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKU_M_R,Forest,0,0,0,0,0,0,167,0,0,651,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKU_M_R,Wetland,0,0,0,0,0,0,104,0,0,188,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKU_M_R,Cropland,0,0,0,0,0,0,47,0,0,145,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKU_M_R,Built-up,0,0,0,0,0,0,5,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKU_M_R,Grassland,0,603,15,314,134,32,14,719,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKU_M_R,Bareland,10,535,0,181,337,97,177,491,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKU_M_R,Built-up,1,314,1,102,0,0,32,340,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKU_M_R,Forest,32,1186,48,0,322,246,180,1454,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKU_M_R,Wetland,0,47,11,47,7,0,12,118,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKU_M_R,Cropland,24,0,12,372,291,36,53,844,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKU_M_R,Water,0,831,116,525,118,470,0,1004,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKU_M_R,Shrubland,0,41,0,34,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKU_M_R,Permanent_ice_and_snow,0,4,0,0,2,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKU_M_R,Grassland,0,681,3,228,157,8,139,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKU_M_R,Bareland,0,489,0,57,254,41,129,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKU_M_R,Forest,0,1082,4,0,635,63,905,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKU_M_R,Shrubland,0,239,0,93,128,12,97,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKU_M_R,Wetland,0,134,8,42,30,0,92,0,0,0,0,0
