Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Built-up,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LVD_M_R,Shrubland,169,124,44,25,33,12,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVD_M_R,Grassland,0,318,188,59,51,66,40,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVD_M_R,Non_Wetland,13,12,5,2,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVD_M_R,Forest,890,0,269,149,126,81,165,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVD_M_R,Cropland,720,569,0,26,138,140,45,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVD_M_R,Wetland,361,315,26,0,7,11,126,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVD_M_R,Bareland,186,121,64,3,34,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVD_M_R,Water,772,832,141,308,35,178,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVD_M_R,Built-up,221,232,129,4,0,68,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVD_M_R,Lichens_and_Mosses,1,0,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVD_M_R,Non_Wetland,6,3,0,23,0,3,1,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVD_M_R,Shrubland,94,22,0,80,10,27,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVD_M_R,Grassland,0,106,0,277,36,66,58,93,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVD_M_R,Cropland,809,270,0,353,179,208,51,194,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVD_M_R,Wetland,257,14,0,0,6,4,157,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVD_M_R,Bareland,153,17,0,69,39,0,44,33,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVD_M_R,Forest,1077,0,0,907,94,282,294,380,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVD_M_R,Water,904,109,0,567,41,63,0,69,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVD_M_R,Built-up,164,30,0,65,0,122,11,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVD_M_R,Lichens_and_Mosses,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVD_M_R,Grassland,0,73,99,278,36,310,62,186,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVD_M_R,Non_Wetland,3,1,3,17,0,6,2,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVD_M_R,Wetland,129,11,16,0,7,66,262,123,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVD_M_R,Forest,807,0,244,723,70,681,356,618,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVD_M_R,Shrubland,59,19,16,45,7,69,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVD_M_R,Water,432,82,63,550,52,578,0,227,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVD_M_R,Cropland,578,114,0,313,178,645,50,223,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVD_M_R,Lichens_and_Mosses,0,0,0,1,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVD_M_R,Bareland,49,7,9,42,16,0,9,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVD_M_R,Built-up,167,19,36,60,0,256,5,49,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVD_M_R,Wetland,0,0,0,0,0,0,43,0,449,0,0,0
