Dataset,MajorityClass,Forest,Water,Bareland,Grassland,Built-up,Wetland,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NFB_M_R,Grassland,38,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFB_M_R,Wetland,125,65,4,165,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFB_M_R,Shrubland,2,0,1,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFB_M_R,Water,132,0,5,124,0,42,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFB_M_R,Bareland,2,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFB_M_R,Built-up,16,1,8,17,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFB_M_R,Forest,0,40,0,130,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFB_M_R,Cropland,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFB_M_R,Wetland,0,14,0,0,0,0,83,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFB_M_R,Grassland,0,0,0,0,0,4,103,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFB_M_R,Shrubland,0,0,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFB_M_R,Forest,0,45,0,0,0,96,332,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFB_M_R,Water,0,0,0,0,0,135,103,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFB_M_R,Bareland,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFB_M_R,Built-up,0,0,0,0,0,0,55,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFB_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFB_M_R,Wetland,0,127,0,0,0,0,0,63,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFB_M_R,Grassland,0,12,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFB_M_R,Water,0,0,0,0,0,0,0,90,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFB_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFB_M_R,Forest,0,74,0,0,0,0,0,41,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFB_M_R,Grassland,28,0,1,0,0,4,0,0,20,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFB_M_R,Forest,0,45,6,122,10,96,0,0,57,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFB_M_R,Wetland,21,14,2,25,3,0,0,0,22,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFB_M_R,Water,90,0,0,50,0,135,0,0,23,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFB_M_R,Built-up,6,0,4,6,0,0,0,0,18,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFB_M_R,Bareland,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFB_M_R,Cropland,0,0,0,1,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFB_M_R,Grassland,23,9,0,0,0,56,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFB_M_R,Shrubland,1,1,0,3,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFB_M_R,Water,35,0,0,9,0,187,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFB_M_R,Forest,0,93,6,91,0,243,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFB_M_R,Wetland,14,100,0,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFB_M_R,Bareland,4,1,0,5,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFB_M_R,Built-up,12,9,0,19,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFB_M_R,Cropland,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFB_M_R,Forest,0,61,8,130,0,221,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFB_M_R,Shrubland,0,1,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFB_M_R,Grassland,8,6,8,0,0,70,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFB_M_R,Water,10,0,13,38,0,203,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFB_M_R,Wetland,6,79,8,38,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFB_M_R,Bareland,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFB_M_R,Built-up,2,0,11,3,0,44,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFB_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFB_M_R,Water,20,0,5,0,25,34,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFB_M_R,Wetland,48,80,1,0,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFB_M_R,Grassland,27,7,0,0,47,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFB_M_R,Forest,0,136,0,0,77,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFB_M_R,Bareland,0,0,0,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFB_M_R,Forest,0,2,1,16,0,2,0,0,0,24,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFB_M_R,Wetland,213,44,10,8,0,0,0,0,0,1,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFB_M_R,Water,209,0,15,1,0,5,0,0,0,1,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFB_M_R,Grassland,44,7,0,0,0,2,0,0,0,16,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFB_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
