Dataset,MajorityClass,Grassland,Wetland,Bareland,Water,Cropland,Forest,Shrubland,Built-up,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZV_M_R,Non_Wetland,1,2,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZV_M_R,Shrubland,2,3,3,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZV_M_R,Grassland,0,5,7,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZV_M_R,Wetland,27,0,12,21,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZV_M_R,Bareland,2,2,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZV_M_R,Built-up,0,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZV_M_R,Water,46,17,15,0,1,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZV_M_R,Forest,82,23,24,31,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZV_M_R,Cropland,2,2,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZV_M_R,Permanent_ice_and_snow,1,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZV_M_R,Non_Wetland,0,3,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZV_M_R,Grassland,0,10,1,4,0,23,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZV_M_R,Bareland,2,4,0,4,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZV_M_R,Water,11,51,1,0,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZV_M_R,Forest,19,77,5,46,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZV_M_R,Shrubland,2,3,0,1,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZV_M_R,Wetland,8,0,0,32,0,32,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZV_M_R,Built-up,1,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZV_M_R,Cropland,2,1,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZV_M_R,Permanent_ice_and_snow,0,1,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZV_M_R,Grassland,0,3,5,0,0,6,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZV_M_R,Bareland,2,0,0,0,0,4,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZV_M_R,Water,16,21,31,0,1,24,21,15,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZV_M_R,Forest,40,27,44,12,8,0,30,29,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZV_M_R,Wetland,3,0,9,0,0,7,11,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZV_M_R,Cropland,0,0,0,0,0,3,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZV_M_R,Permanent_ice_and_snow,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZV_M_R,Shrubland,0,0,0,0,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZV_M_R,Grassland,0,3,0,0,0,0,0,0,0,16,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZV_M_R,Wetland,0,0,0,0,0,0,0,0,0,42,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZV_M_R,Bareland,0,0,0,0,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZV_M_R,Built-up,0,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZV_M_R,Forest,0,27,0,12,0,0,0,0,0,96,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZV_M_R,Water,0,21,0,0,0,0,0,0,0,50,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZV_M_R,Cropland,0,0,0,0,0,0,0,0,0,3,0
