Dataset,MajorityClass,Wetland,Grassland,Water,Forest,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MND_M_R,Non_Wetland,8,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MND_M_R,Grassland,55,0,9,13,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MND_M_R,Bareland,30,6,40,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MND_M_R,Built-up,34,44,18,1,52,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MND_M_R,Water,534,33,0,24,30,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MND_M_R,Shrubland,7,3,1,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MND_M_R,Wetland,0,42,326,10,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MND_M_R,Forest,477,155,261,0,106,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MND_M_R,Cropland,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MND_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MND_M_R,Non_Wetland,0,8,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MND_M_R,Grassland,3,0,0,17,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MND_M_R,Wetland,0,418,115,336,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MND_M_R,Bareland,11,49,3,31,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MND_M_R,Built-up,0,93,8,80,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MND_M_R,Water,299,425,0,503,28,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MND_M_R,Forest,28,253,24,0,2,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MND_M_R,Shrubland,0,9,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MND_M_R,Cropland,0,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MND_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MND_M_R,Grassland,3,0,0,0,0,0,91,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MND_M_R,Wetland,0,0,67,0,0,0,444,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MND_M_R,Forest,137,0,36,0,0,0,676,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MND_M_R,Water,276,0,0,0,0,0,521,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MND_M_R,Shrubland,0,0,0,0,0,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MND_M_R,Bareland,8,0,0,0,0,0,51,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MND_M_R,Built-up,11,0,0,0,0,0,50,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MND_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MND_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MND_M_R,Non_Wetland,4,1,2,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MND_M_R,Forest,351,176,149,0,169,104,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MND_M_R,Grassland,54,0,10,0,31,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MND_M_R,Water,509,27,0,19,80,46,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MND_M_R,Wetland,0,44,335,16,36,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MND_M_R,Shrubland,3,0,1,0,8,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MND_M_R,Bareland,21,4,28,0,0,3,0,0,0,0,0,0
