Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Built-up,Water,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LLK_M_R,Shrubland,240,45,127,23,90,44,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLK_M_R,Grassland,0,89,133,7,37,23,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLK_M_R,Bareland,180,43,25,3,0,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLK_M_R,Water,170,0,238,32,81,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLK_M_R,Forest,416,49,0,35,55,19,70,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLK_M_R,Non_Wetland,5,0,2,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLK_M_R,Cropland,325,0,124,0,100,80,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLK_M_R,Wetland,63,0,42,0,7,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLK_M_R,Built-up,135,33,58,0,40,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLK_M_R,Non_Water,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLK_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLK_M_R,Shrubland,0,0,0,0,0,0,0,114,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLK_M_R,Wetland,0,0,0,0,0,0,8,158,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLK_M_R,Grassland,0,0,0,9,0,0,4,77,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLK_M_R,Forest,0,0,0,75,0,0,84,457,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLK_M_R,Water,0,0,0,115,0,0,0,153,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLK_M_R,Bareland,0,0,0,0,0,0,15,14,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLK_M_R,Cropland,0,0,0,0,0,0,4,26,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLK_M_R,Built-up,0,0,0,3,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLK_M_R,Shrubland,69,0,36,52,35,12,40,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLK_M_R,Non_Wetland,0,0,3,9,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLK_M_R,Grassland,0,0,75,44,43,12,35,0,219,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLK_M_R,Cropland,288,0,44,22,105,8,3,0,341,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLK_M_R,Wetland,9,0,4,0,1,0,45,0,36,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLK_M_R,Bareland,110,0,16,8,0,18,13,0,117,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLK_M_R,Built-up,66,0,0,1,53,0,7,0,123,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLK_M_R,Forest,232,0,0,234,91,27,207,0,628,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLK_M_R,Non_Water,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLK_M_R,Water,35,0,59,87,8,4,0,0,263,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLK_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLK_M_R,Grassland,0,75,23,30,91,13,2,0,251,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLK_M_R,Non_Wetland,1,0,1,5,2,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLK_M_R,Wetland,8,0,4,0,2,0,8,0,60,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLK_M_R,Bareland,54,15,0,5,0,21,4,0,45,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLK_M_R,Water,12,0,77,189,29,1,0,0,365,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLK_M_R,Forest,207,52,0,298,201,26,75,0,664,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLK_M_R,Non_Water,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLK_M_R,Shrubland,69,27,16,39,64,11,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLK_M_R,Cropland,199,0,7,6,220,10,0,0,224,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLK_M_R,Built-up,71,6,4,0,72,0,1,0,101,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLK_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLK_M_R,Shrubland,0,0,0,0,0,0,49,0,0,15,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLK_M_R,Grassland,0,0,0,0,0,0,14,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLK_M_R,Wetland,0,0,0,0,0,0,23,0,0,11,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLK_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLK_M_R,Bareland,0,0,0,0,0,0,6,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLK_M_R,Water,0,0,0,0,0,0,0,0,0,139,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLK_M_R,Forest,0,0,0,0,0,0,121,0,0,76,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLK_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0,0
