Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Cropland,Wetland,Non_Water,Shrubland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R,Shrubland,2,3,1,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R,Grassland,0,4,0,5,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R,Cropland,22,7,5,12,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R,Wetland,15,5,0,42,44,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R,Bareland,42,0,0,42,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R,Built-up,6,5,0,5,7,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R,Water,91,61,2,0,105,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R,Forest,71,34,15,51,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R,Permanent_ice_and_snow,1,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R,Shrubland,0,0,0,2,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R,Grassland,0,0,0,11,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R,Cropland,0,0,0,9,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R,Wetland,0,0,0,36,0,0,0,25,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R,Bareland,0,0,0,46,0,0,0,36,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R,Water,0,0,0,0,0,0,0,102,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R,Forest,0,0,0,81,0,0,0,48,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R,Built-up,0,0,0,1,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,Water,30,39,9,0,67,46,44,0,74,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,Cropland,2,4,2,0,12,0,0,0,26,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,Wetland,1,2,0,0,4,3,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,Bareland,16,0,7,9,26,23,12,0,37,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,Built-up,3,4,0,0,6,4,0,0,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,Forest,26,29,14,11,0,42,25,0,66,0,0
