Dataset,MajorityClass,Grassland,Water,Forest,Cropland,Built-up,Bareland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KGF_M_R,Shrubland,251,42,150,47,83,32,31,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGF_M_R,Grassland,0,51,211,141,69,48,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGF_M_R,Non_Wetland,4,0,4,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGF_M_R,Bareland,178,8,94,42,74,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGF_M_R,Built-up,389,43,245,164,0,126,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGF_M_R,Water,1107,0,859,167,29,206,233,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGF_M_R,Forest,1140,414,0,340,228,149,147,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGF_M_R,Cropland,723,90,488,0,232,175,23,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGF_M_R,Wetland,157,15,112,37,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGF_M_R,Non_Water,4,0,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGF_M_R,Permanent_ice_and_snow,2,2,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGF_M_R,Non_Wetland,1,0,2,0,0,0,6,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGF_M_R,Shrubland,79,21,44,0,27,31,37,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGF_M_R,Grassland,0,115,164,0,44,33,69,115,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGF_M_R,Cropland,687,123,407,0,173,191,142,403,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGF_M_R,Bareland,134,27,42,0,48,0,1,49,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGF_M_R,Built-up,200,50,105,0,0,160,4,165,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGF_M_R,Water,459,0,551,0,64,90,186,292,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGF_M_R,Forest,665,501,0,0,148,166,403,654,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGF_M_R,Non_Water,0,3,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGF_M_R,Wetland,39,79,23,0,0,3,0,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGF_M_R,Permanent_ice_and_snow,0,1,4,0,0,0,0,0,0,0,0,0
