Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MTS_M_R,Grassland,427,37,41,25,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTS_M_R,Non_Wetland,13,2,1,0,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTS_M_R,Bareland,124,0,24,8,8,314,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTS_M_R,Water,930,129,4,513,0,1338,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTS_M_R,Forest,0,48,90,58,101,819,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTS_M_R,Wetland,1094,64,19,0,242,1601,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTS_M_R,Built-up,167,37,0,4,7,263,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTS_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTS_M_R,Shrubland,29,1,7,2,2,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTS_M_R,Cropland,91,5,8,0,0,109,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTS_M_R,Lichens_and_Mosses,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTS_M_R,Permanent_ice_and_snow,5,1,0,0,3,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTS_M_R,Non_Wetland,1,3,1,14,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTS_M_R,Grassland,137,336,62,455,194,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTS_M_R,Wetland,125,330,42,0,761,498,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTS_M_R,Bareland,85,0,2,77,70,147,0,0,0,0,0,0
