Dataset,MajorityClass,Forest,Wetland,Built-up,Water,Grassland,Bareland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MKB_M_R,Grassland,176,10,3,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKB_M_R,Non_Wetland,11,0,0,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKB_M_R,Wetland,522,0,1,209,894,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKB_M_R,Bareland,61,0,3,5,151,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKB_M_R,Built-up,139,4,0,7,211,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKB_M_R,Water,507,396,1,0,980,44,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKB_M_R,Forest,0,45,26,67,657,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKB_M_R,Non_Water,2,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKB_M_R,Shrubland,16,0,1,0,17,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKB_M_R,Cropland,60,0,1,0,37,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKB_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKB_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKB_M_R,Non_Wetland,1,9,0,3,2,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKB_M_R,Grassland,40,295,24,121,0,92,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKB_M_R,Bareland,9,51,19,70,29,0,1,0,0,0,0,0
