Dataset,MajorityClass,Cropland,Bareland,Built-up,Forest,Wetland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24KTA_M_R,Grassland,133,35,50,192,217,32,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTA_M_R,Non_Wetland,2,0,1,9,24,2,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTA_M_R,Bareland,36,0,44,59,124,49,200,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTA_M_R,Built-up,35,53,0,77,83,23,125,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTA_M_R,Water,110,154,67,278,447,0,317,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTA_M_R,Forest,73,22,47,0,232,71,274,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTA_M_R,Shrubland,20,7,11,31,37,10,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTA_M_R,Cropland,0,32,36,105,149,15,189,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTA_M_R,Wetland,151,59,43,222,0,157,370,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTA_M_R,Non_Water,0,0,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTA_M_R,Permanent_ice_and_snow,0,2,1,8,3,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTA_M_R,Non_Wetland,0,3,9,3,14,6,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTA_M_R,Shrubland,0,18,24,6,21,9,21,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTA_M_R,Grassland,0,58,80,57,192,103,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTA_M_R,Cropland,0,56,110,15,117,44,174,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTA_M_R,Wetland,0,133,155,16,0,314,187,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTA_M_R,Bareland,0,0,96,6,34,103,58,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTA_M_R,Built-up,0,46,0,9,38,50,33,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTA_M_R,Water,0,143,219,36,294,0,157,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTA_M_R,Forest,0,71,114,0,243,144,185,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTA_M_R,Non_Water,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTA_M_R,Permanent_ice_and_snow,0,6,3,0,5,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTA_M_R,Wetland,0,0,0,0,0,33,0,0,1194,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTA_M_R,Grassland,0,0,0,0,48,14,0,0,537,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTA_M_R,Built-up,0,0,0,0,3,1,0,0,174,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTA_M_R,Forest,0,0,0,0,49,23,0,0,577,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTA_M_R,Bareland,0,0,0,0,50,11,0,0,184,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTA_M_R,Water,0,0,0,0,169,0,0,0,622,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTA_M_R,Shrubland,0,0,0,0,0,0,0,0,70,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTA_M_R,Cropland,0,0,0,0,6,0,0,0,285,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTA_M_R,Non_Wetland,4,4,3,3,11,1,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTA_M_R,Wetland,35,183,50,39,0,105,214,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTA_M_R,Built-up,11,96,0,4,33,6,41,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTA_M_R,Forest,38,101,66,0,179,40,188,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTA_M_R,Grassland,89,90,41,53,107,16,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTA_M_R,Water,19,247,77,48,326,0,53,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTA_M_R,Shrubland,7,24,11,2,12,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTA_M_R,Cropland,0,76,45,26,27,9,123,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTA_M_R,Bareland,8,0,18,1,7,15,30,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTA_M_R,Permanent_ice_and_snow,0,21,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTA_M_R,Water,0,0,0,0,0,0,0,0,0,300,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTA_M_R,Grassland,0,0,0,0,0,237,0,0,0,48,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTA_M_R,Wetland,0,0,0,0,0,453,0,0,0,139,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTA_M_R,Bareland,0,0,0,0,0,165,0,0,0,41,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTA_M_R,Built-up,0,0,0,0,0,76,0,0,0,23,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTA_M_R,Shrubland,0,0,0,0,0,20,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTA_M_R,Cropland,0,0,0,0,0,94,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTA_M_R,Forest,0,0,0,0,0,159,0,0,0,65,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KTA_M_R,Grassland,313,43,207,178,48,14,0,313,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KTA_M_R,Wetland,200,74,173,166,0,33,3,306,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KTA_M_R,Bareland,163,0,172,34,63,15,0,148,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KTA_M_R,Built-up,54,11,0,11,3,1,1,60,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KTA_M_R,Water,237,134,256,164,198,0,2,265,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KTA_M_R,Forest,184,30,132,0,49,26,19,219,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KTA_M_R,Cropland,0,4,73,48,6,0,1,89,0,0,0,0
