Dataset,MajorityClass,Grassland,Cropland,Wetland,Forest,Bareland,Water,Built-up,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LLH_M_R,Shrubland,3,3,3,3,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLH_M_R,Grassland,0,37,50,46,20,21,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLH_M_R,Cropland,95,0,70,64,39,42,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLH_M_R,Wetland,164,49,0,113,48,82,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLH_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLH_M_R,Bareland,48,18,31,34,0,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLH_M_R,Built-up,12,4,0,9,7,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLH_M_R,Water,174,63,121,159,90,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLH_M_R,Forest,115,54,74,0,52,53,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLH_M_R,Permanent_ice_and_snow,34,7,22,15,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLH_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLH_M_R,Grassland,0,0,12,0,0,8,0,116,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLH_M_R,Cropland,0,0,37,0,0,26,0,98,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLH_M_R,Bareland,0,0,32,0,0,7,0,37,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLH_M_R,Forest,0,0,47,0,0,33,0,157,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLH_M_R,Wetland,0,0,0,0,0,25,0,276,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLH_M_R,Water,0,0,79,0,0,0,0,91,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,31,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLH_M_R,Shrubland,0,0,0,0,0,5,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLH_M_R,Grassland,0,0,0,0,0,98,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLH_M_R,Cropland,0,0,0,0,0,130,0,0,37,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLH_M_R,Wetland,0,0,0,0,0,217,0,0,87,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLH_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLH_M_R,Bareland,0,0,0,0,0,82,0,0,28,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLH_M_R,Built-up,0,0,0,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLH_M_R,Water,0,0,0,0,0,0,0,0,225,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLH_M_R,Forest,0,0,0,0,0,160,0,0,67,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLH_M_R,Permanent_ice_and_snow,0,0,0,0,0,13,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLH_M_R,Water,46,51,79,90,45,0,4,0,0,74,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLH_M_R,Cropland,60,0,37,65,42,26,15,0,0,69,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLH_M_R,Wetland,31,44,0,64,33,25,2,0,0,47,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLH_M_R,Bareland,34,23,32,38,0,7,8,0,0,36,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLH_M_R,Built-up,5,6,0,5,2,0,0,0,0,3,2,0
