Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Water,Bareland,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LXC_M_R,Shrubland,344,60,220,130,61,65,71,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXC_M_R,Non_Wetland,12,2,8,15,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXC_M_R,Grassland,0,198,342,385,62,100,81,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXC_M_R,Bareland,241,35,157,17,58,0,95,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXC_M_R,Water,847,40,637,878,0,131,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXC_M_R,Forest,1071,244,0,683,301,117,170,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXC_M_R,Cropland,747,0,473,164,28,202,189,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXC_M_R,Wetland,361,37,268,0,224,19,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXC_M_R,Built-up,394,98,316,45,33,133,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXC_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXC_M_R,Lichens_and_Mosses,4,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXC_M_R,Non_Wetland,9,0,3,13,1,4,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXC_M_R,Shrubland,122,0,35,73,25,67,30,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXC_M_R,Grassland,0,0,142,192,85,141,89,311,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXC_M_R,Cropland,693,0,289,137,56,273,235,547,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXC_M_R,Wetland,651,0,51,0,470,72,2,272,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXC_M_R,Bareland,163,0,18,18,61,0,76,106,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXC_M_R,Built-up,266,0,70,31,41,166,0,253,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXC_M_R,Water,918,0,137,330,0,268,142,674,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXC_M_R,Forest,1148,0,0,665,391,435,258,1185,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXC_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXC_M_R,Lichens_and_Mosses,0,0,0,0,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXC_M_R,Wetland,0,0,0,0,115,0,0,0,1076,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXC_M_R,Shrubland,0,0,0,0,0,0,0,0,282,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXC_M_R,Grassland,0,0,0,92,133,0,0,0,736,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXC_M_R,Forest,0,0,0,311,348,0,0,0,1819,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXC_M_R,Water,0,0,0,511,0,0,0,0,655,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXC_M_R,Bareland,0,0,0,20,37,0,0,0,39,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXC_M_R,Cropland,0,0,0,9,66,0,0,0,414,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXC_M_R,Built-up,0,0,0,9,92,0,0,0,146,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXC_M_R,Non_Wetland,6,0,2,15,5,1,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXC_M_R,Grassland,0,70,126,240,121,239,70,303,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXC_M_R,Wetland,440,0,79,0,490,85,2,259,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXC_M_R,Water,498,6,165,563,0,659,63,624,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXC_M_R,Forest,1005,120,0,832,376,598,185,1126,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXC_M_R,Shrubland,112,19,33,70,26,106,38,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXC_M_R,Bareland,97,16,17,7,14,0,47,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXC_M_R,Built-up,271,37,62,73,6,330,0,181,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXC_M_R,Cropland,606,0,249,149,51,475,158,325,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXC_M_R,Lichens_and_Mosses,0,0,2,0,0,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXC_M_R,Grassland,0,0,0,0,128,0,0,0,0,100,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXC_M_R,Wetland,0,0,0,0,358,0,0,0,0,362,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXC_M_R,Shrubland,0,0,0,0,39,0,0,0,0,34,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXC_M_R,Water,0,0,0,0,0,0,0,0,0,764,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXC_M_R,Bareland,0,0,0,0,67,0,0,0,0,35,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXC_M_R,Cropland,0,0,0,0,33,0,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXC_M_R,Built-up,0,0,0,0,31,0,0,0,0,21,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXC_M_R,Forest,0,0,0,0,277,0,0,0,0,263,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXC_M_R,Grassland,0,671,390,92,133,21,237,720,0,0,40,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXC_M_R,Wetland,27,167,311,0,115,54,12,297,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXC_M_R,Built-up,0,338,139,9,92,1,0,278,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXC_M_R,Forest,162,923,0,311,348,113,330,1036,0,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXC_M_R,Bareland,3,373,75,20,37,0,228,238,0,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXC_M_R,Cropland,28,0,233,9,66,3,239,511,0,0,35,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXC_M_R,Water,7,434,510,511,0,96,120,522,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXC_M_R,Shrubland,9,43,36,0,0,6,22,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXC_M_R,Grassland,0,738,226,51,80,4,263,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXC_M_R,Forest,0,713,0,205,380,0,598,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXC_M_R,Shrubland,0,179,87,7,69,1,136,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXC_M_R,Wetland,0,197,200,0,193,0,53,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXC_M_R,Bareland,0,158,45,1,63,0,152,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXC_M_R,Built-up,0,100,31,0,10,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXC_M_R,Water,0,314,198,168,0,45,223,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXC_M_R,Cropland,0,0,116,12,14,4,213,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXC_M_R,Forest,173,197,0,24,109,121,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXC_M_R,Shrubland,99,104,271,23,80,64,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXC_M_R,Wetland,234,80,808,0,254,39,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXC_M_R,Cropland,215,0,248,12,36,128,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXC_M_R,Water,166,91,870,150,0,57,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXC_M_R,Bareland,22,35,85,1,64,0,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXC_M_R,Built-up,60,181,286,3,46,139,0,0,0,0,0,2
