Dataset,MajorityClass,Forest,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NRK_M_R,Shrubland,70,84,6,12,19,3,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRK_M_R,Grassland,189,0,61,108,53,13,18,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRK_M_R,Non_Wetland,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRK_M_R,Cropland,36,345,0,39,9,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRK_M_R,Wetland,429,1026,19,0,37,1,128,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRK_M_R,Bareland,40,307,23,55,0,4,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRK_M_R,Water,692,755,1,396,191,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRK_M_R,Built-up,61,163,0,0,11,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRK_M_R,Forest,0,489,9,52,15,1,75,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRK_M_R,Permanent_ice_and_snow,2,6,0,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRK_M_R,Grassland,33,0,279,324,229,39,122,33,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRK_M_R,Non_Wetland,0,2,0,2,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRK_M_R,Water,113,473,77,471,117,0,0,12,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRK_M_R,Shrubland,11,44,33,39,29,5,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRK_M_R,Wetland,23,415,173,0,162,0,494,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRK_M_R,Built-up,1,48,27,22,48,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRK_M_R,Forest,0,499,159,415,190,17,184,117,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRK_M_R,Bareland,2,101,124,44,0,4,92,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRK_M_R,Cropland,9,64,0,104,50,10,17,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRK_M_R,Permanent_ice_and_snow,0,0,0,2,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRK_M_R,Shrubland,11,53,0,54,16,5,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRK_M_R,Non_Wetland,0,2,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRK_M_R,Grassland,25,0,0,431,81,39,114,23,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRK_M_R,Cropland,4,270,0,204,16,11,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRK_M_R,Wetland,2,469,0,0,20,1,347,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRK_M_R,Forest,0,548,0,543,113,39,154,104,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRK_M_R,Bareland,1,99,0,194,0,15,79,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRK_M_R,Built-up,0,44,0,32,37,0,3,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRK_M_R,Water,68,479,0,493,7,5,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRK_M_R,Permanent_ice_and_snow,0,1,0,1,0,0,1,0,0,0,0
