Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Built-up,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LRL_M_R,Shrubland,167,100,32,10,36,10,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRL_M_R,Grassland,0,267,169,25,82,75,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRL_M_R,Non_Wetland,5,8,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRL_M_R,Bareland,199,105,51,1,44,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRL_M_R,Forest,700,0,138,63,203,75,50,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRL_M_R,Cropland,544,389,0,20,164,94,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRL_M_R,Wetland,104,71,0,0,3,4,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRL_M_R,Built-up,254,140,96,7,0,68,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRL_M_R,Water,240,191,2,91,2,57,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRL_M_R,Lichens_and_Mosses,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRL_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRL_M_R,Non_Wetland,3,2,0,9,0,1,1,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRL_M_R,Shrubland,56,25,0,33,10,37,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRL_M_R,Grassland,0,166,0,102,119,163,27,212,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRL_M_R,Cropland,470,263,0,79,174,251,3,302,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRL_M_R,Wetland,42,22,0,0,8,12,34,47,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRL_M_R,Bareland,123,45,0,7,54,0,8,42,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRL_M_R,Built-up,97,49,0,8,0,126,8,110,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRL_M_R,Forest,550,0,0,339,128,309,102,525,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRL_M_R,Water,142,96,0,74,6,37,0,50,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRL_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRL_M_R,Grassland,0,31,117,153,65,379,28,202,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRL_M_R,Non_Wetland,2,0,0,12,0,4,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRL_M_R,Forest,637,0,173,372,17,647,174,588,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRL_M_R,Wetland,36,6,0,0,0,20,57,45,0,0,0,0
