Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Wetland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LDM_M_R,Shrubland,339,41,33,175,68,47,28,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDM_M_R,Grassland,0,117,48,258,63,43,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDM_M_R,Non_Wetland,10,4,0,8,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDM_M_R,Built-up,172,49,44,133,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDM_M_R,Forest,1054,178,79,0,249,142,199,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDM_M_R,Cropland,620,0,117,355,2,158,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDM_M_R,Wetland,797,24,15,469,0,4,261,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDM_M_R,Bareland,208,24,0,55,4,26,41,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDM_M_R,Water,918,20,167,729,442,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDM_M_R,Non_Wetland,5,0,0,4,15,0,1,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDM_M_R,Shrubland,96,0,24,37,81,4,29,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDM_M_R,Grassland,0,0,42,148,191,9,58,278,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDM_M_R,Cropland,555,0,87,219,150,69,26,296,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDM_M_R,Wetland,282,0,39,249,0,0,339,602,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDM_M_R,Bareland,109,0,0,70,19,31,51,40,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDM_M_R,Built-up,92,0,71,24,10,0,7,56,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDM_M_R,Water,560,0,54,296,371,12,0,545,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDM_M_R,Forest,810,0,97,0,632,58,365,929,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDM_M_R,Shrubland,0,0,0,0,0,0,0,0,332,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDM_M_R,Wetland,0,0,0,0,0,0,57,0,574,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDM_M_R,Grassland,0,0,0,0,98,0,48,0,515,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDM_M_R,Forest,0,0,0,0,532,0,219,0,1417,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDM_M_R,Bareland,0,0,0,0,83,0,24,0,41,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDM_M_R,Water,0,0,0,0,580,0,0,0,646,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDM_M_R,Cropland,0,0,0,0,6,0,14,0,294,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDM_M_R,Built-up,0,0,0,0,1,0,11,0,34,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDM_M_R,Grassland,0,116,208,44,206,15,24,326,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDM_M_R,Non_Wetland,5,1,2,0,15,0,0,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDM_M_R,Wetland,256,10,173,165,0,0,269,701,0,0,0
