Dataset,MajorityClass,Grassland,Cropland,Built-up,Forest,Wetland,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LGQ_M_R,Shrubland,345,52,79,197,48,67,42,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGQ_M_R,Grassland,0,181,93,369,28,69,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGQ_M_R,Non_Wetland,9,0,0,3,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGQ_M_R,Bareland,265,51,62,94,2,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGQ_M_R,Built-up,274,58,0,177,0,69,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGQ_M_R,Water,864,22,31,624,264,194,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGQ_M_R,Forest,853,187,136,0,64,59,101,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGQ_M_R,Cropland,540,0,117,359,3,95,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGQ_M_R,Wetland,364,4,2,224,0,16,58,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGQ_M_R,Non_Water,3,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGQ_M_R,Lichens_and_Mosses,0,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGQ_M_R,Non_Wetland,1,0,0,1,7,1,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGQ_M_R,Shrubland,87,0,18,33,60,56,51,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGQ_M_R,Grassland,0,0,52,166,120,123,77,331,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGQ_M_R,Cropland,471,0,43,217,50,173,14,420,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGQ_M_R,Wetland,66,0,1,55,0,24,257,210,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGQ_M_R,Bareland,132,0,74,18,4,0,76,89,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGQ_M_R,Built-up,132,0,0,24,8,81,21,160,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGQ_M_R,Water,302,0,41,222,133,51,0,515,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGQ_M_R,Forest,560,0,107,0,308,195,303,942,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGQ_M_R,Non_Water,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGQ_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGQ_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGQ_M_R,Shrubland,0,0,0,0,0,0,0,0,160,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGQ_M_R,Wetland,0,0,0,0,0,0,56,0,377,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGQ_M_R,Grassland,0,0,0,0,68,0,27,0,224,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGQ_M_R,Forest,0,0,0,0,314,0,128,0,651,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGQ_M_R,Water,0,0,0,0,508,0,0,0,343,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGQ_M_R,Cropland,0,0,0,0,14,0,13,0,88,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGQ_M_R,Bareland,0,0,0,0,55,0,19,0,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGQ_M_R,Built-up,0,0,0,0,6,0,8,0,24,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGQ_M_R,Grassland,0,132,60,101,86,247,40,310,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGQ_M_R,Non_Wetland,1,0,0,0,7,1,1,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGQ_M_R,Wetland,44,0,0,23,0,93,76,186,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGQ_M_R,Forest,642,170,63,0,422,506,133,793,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGQ_M_R,Built-up,131,6,0,15,16,199,2,95,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGQ_M_R,Non_Water,0,0,0,0,0,1,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGQ_M_R,Water,90,17,16,160,405,454,0,487,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGQ_M_R,Shrubland,92,25,21,20,44,88,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGQ_M_R,Bareland,46,25,33,0,2,0,9,34,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGQ_M_R,Cropland,355,0,83,79,38,316,1,197,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGQ_M_R,Wetland,0,0,0,0,0,0,228,0,0,126,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGQ_M_R,Shrubland,0,0,0,0,0,0,71,0,0,20,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGQ_M_R,Grassland,0,0,0,0,0,0,118,0,0,26,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGQ_M_R,Bareland,0,0,0,0,0,0,80,0,0,28,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGQ_M_R,Water,0,0,0,0,0,0,0,0,0,369,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGQ_M_R,Cropland,0,0,0,0,0,0,17,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGQ_M_R,Built-up,0,0,0,0,0,0,21,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGQ_M_R,Forest,0,0,0,0,0,0,300,0,0,156,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGQ_M_R,Grassland,0,222,92,363,68,54,27,512,0,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGQ_M_R,Wetland,1,0,0,121,0,36,56,135,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGQ_M_R,Bareland,39,130,114,79,55,0,19,234,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGQ_M_R,Built-up,70,96,0,73,6,8,8,171,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGQ_M_R,Forest,457,262,117,0,314,90,128,725,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGQ_M_R,Cropland,222,0,82,303,14,19,13,410,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGQ_M_R,Water,100,81,55,414,508,121,0,506,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGQ_M_R,Shrubland,22,14,12,36,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGQ_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGQ_M_R,Grassland,0,671,201,237,1,2,78,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGQ_M_R,Bareland,0,179,105,26,0,0,23,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGQ_M_R,Forest,0,498,349,0,43,1,406,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGQ_M_R,Shrubland,0,152,106,75,4,0,48,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGQ_M_R,Wetland,0,92,59,51,0,0,104,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGQ_M_R,Built-up,0,41,0,6,0,7,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGQ_M_R,Water,0,57,105,39,55,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGQ_M_R,Cropland,0,0,55,89,0,6,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGQ_M_R,Wetland,84,31,0,286,0,10,164,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGQ_M_R,Forest,153,182,0,0,17,111,98,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGQ_M_R,Shrubland,74,83,0,185,19,63,62,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGQ_M_R,Cropland,135,0,0,111,0,168,6,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGQ_M_R,Bareland,13,26,0,19,1,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGQ_M_R,Water,25,11,0,321,60,44,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGQ_M_R,Built-up,13,68,0,118,0,49,5,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGQ_M_R,Grassland,0,174,0,268,12,155,79,0,0,0,0,1
