Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MYE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
5,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
6,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
7,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
8,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
9,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
10,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
11,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
12,NULL,Wetland,Water,NULL,Water,NULL,NULL,NULL
13,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
14,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
15,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
16,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
17,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
18,NULL,Bareland,Water,NULL,Water,NULL,NULL,NULL
19,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
20,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
21,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
22,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,NULL
23,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
24,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
25,NULL,Built-up,Water,NULL,Water,NULL,NULL,NULL
26,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
27,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
28,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
29,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
30,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
31,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,Water,Water,NULL,Water,NULL,NULL,NULL
33,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
